baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,adaptive_policy_mix_apc,adaptive_policy_mix_pat,adaptive_policy_mix_waferagent,adaptive_wrong_choice_count,adaptive_non_worse_fraction,adaptive_effective_run_policy,config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate
waferagent_adaptive,2.0,20,2.890133219667525,56346.03725063807,39.70535255900904,39.70535255900904,41.213181329009124,6.309475708564307,6.309475708564605,6.309475708564605,0.1783490285643503,0.1783490285643503,0.1783490285643507,0.00024479999983526566,0.0,0.9553072625698324,171.0,0.997229916897507,0.0,0.0,89600.0,1.0,301245.0,76075.0,0.12340887552,1.792e-08,0.035595878399999996,0.0,0.007950238592,701890560000.0,701890560000.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,14037.8112,0.0,cohort_stage,latency_p50_ms,701890560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.8771429999995,711917568000.0,0.0,0.0,16.75718929618597,48.484187573194504,0.008596107363700867,0.27286168187856674,26.202521286904812,120.91523874551058,6.045761937275529,0.15190956474821424,0.0,0.0,1.0,0.0,1.0,per_prefix_mixed,56,train,45,425,1609,70,8,True,1.0,1.0
waferagent_latency_safe,2.0,20,2.890133219667525,56346.03725063807,39.70535255900904,39.70535255900904,41.213181329009124,6.309475708564307,6.309475708564605,6.309475708564605,0.1783490285643503,0.1783490285643503,0.1783490285643507,0.00024479999983526566,0.0,0.9553072625698324,171.0,0.997229916897507,0.0,0.0,89600.0,1.0,301245.0,76075.0,0.12340887552,1.792e-08,0.035595878399999996,0.0,0.007950238592,701890560000.0,701890560000.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,14037.8112,0.0,cohort_stage,latency_p50_ms,701890560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.8771429999995,711917568000.0,0.0,0.0,17.110688611865044,49.31425303220749,0.008433125913143158,0.2733934670686722,24.93900526314974,121.0071723908186,6.05035861954093,0.15202506383823258,0.0,0.0,0.0,0.0,0.0,,56,train,45,425,1609,70,8,True,1.0,1.0
waferagent_no_affinity_placement,2.0,20,2.8901317883204287,56346.00934509507,39.7087797590093,39.7087797590093,41.216608529009065,6.309475708564307,6.309475708564605,6.309475708564605,0.1783490285643503,0.1783490285643503,0.1783490285643507,0.003671999997528985,0.013708799990774878,0.9553072625698324,171.0,0.994475138121547,0.0,0.0,447257600.0,1.9927880487665275,301245.0,76075.0,0.12340887552,8.945152e-05,0.035595878399999996,0.0,0.007954710272,701890560000.0,701890560000.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,14037.8112,0.0,cohort_stage,latency_p50_ms,701890560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55705600.0,10027008000.0,55705600.0,0.0,335.8771429999995,711917568000.0,0.0,0.0,16.46411418914795,48.95440209656954,0.013035722076892853,0.2896152436733246,26.57577209174633,122.68384546041489,6.134192273020744,0.15411824848770722,0.0,0.0,0.0,0.0,0.0,,56,train,45,425,1609,70,8,True,1.0,1.0
waferagent_no_decode_cohort,2.0,20,2.890133219667525,56346.03725063807,39.70535255900904,39.70535255900904,41.213181329009124,6.309475708564307,6.309475708564605,6.309475708564605,0.1783490285643503,0.1783490285643503,0.1783490285643507,0.00024479999983526566,0.0,0.9553072625698324,171.0,0.997229916897507,0.0,0.0,89600.0,1.0,301245.0,76075.0,0.12340887552,1.792e-08,0.035595878399999996,0.0,0.007950238592,701890560000.0,701890560000.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,14037.8112,0.0,cohort_stage,latency_p50_ms,701890560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.8771429999995,711917568000.0,0.0,0.0,16.673315316438675,112.89524100720882,0.009446404874324799,0.2350611612200737,25.179823860526085,184.989164583385,9.24945822916925,0.2324076250979669,0.0,0.0,0.0,0.0,0.0,,56,train,45,425,1609,70,8,True,1.0,1.0
waferagent_no_kv_sharing,2.0,20,2.8563510012279236,55687.4191199396,121.54970655900934,188.41972138366214,191.58267443098902,8.170992708564341,8.170992708564427,8.170992708564427,0.1783490285643503,0.1783490285643503,0.17834902856435098,177.11961060836742,34.39118881877471,0.0,0.0,0.0,179.0,0.0,155975769600.0,1.0,377320.0,0.0,0.15332278272,0.03119515392,0.0024728043519999998,0.0,0.0093495370496,701890560000.0,701890560000.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,14037.8112,0.0,cohort_stage,latency_p50_ms,701890560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49456087040.0,0.0,16.911008395254612,49.45300705730915,0.008303672075271606,0.2421000972390175,25.72535164654255,121.82199861854315,6.091099930927157,0.04390130612289777,0.0,0.0,0.0,0.0,0.0,,56,train,45,425,1609,70,8,True,1.0,1.0
waferagent_no_shared_kv_placement,2.0,20,2.8579250014726583,55718.10582871095,117.69339255900923,184.56340738366242,187.72636043098927,6.309475708564307,6.309475708564605,6.309475708564605,0.1783490285643503,0.1783490285643503,0.1783490285643507,177.11961060836742,34.39118881877471,0.9553072625698324,171.0,0.9944444444444445,0.0,0.0,155975769600.0,1.0,301245.0,76075.0,0.12340887552,0.03119515392,0.0005013504,0.0,0.007755268992,701890560000.0,701890560000.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,14037.8112,0.0,cohort_stage,latency_p50_ms,701890560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.8771429999995,9971302400.0,55705600.0,0.0,16.83188509196043,48.65298047661781,0.008120201528072357,0.26802439242601395,24.567079730331898,119.99660544097424,5.999830272048712,0.04447976374419971,0.0,0.0,0.0,0.0,0.0,,56,train,45,425,1609,70,8,True,1.0,1.0
apc_like,4.0,20,0.37135951363405795,70489.97743996234,50415.971605798164,50415.971605798164,50415.97160579817,19.944785169988933,19.944785169989018,44.744877677517124,0.17820337190136357,0.17820337190136537,0.17820337190136537,201498.569664,0.0,0.9559748427672956,152.0,0.0,0.0,465825693696.0,201498558464000.0,1.75,222992.0,3553968.0,0.09529668403199999,40.2997116928,0.023437770752,0.6789454102528001,2.05486957789184,56719405219840.0,56719405219840.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,1134388.1043968,0.0,cohort_stage,latency_p50_ms,56719405219840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36679.792934400095,0.0,468755415040.0,848681762816.0,11.541720479726791,32.819234766066074,0.008362345397472382,0.22478774189949036,25.249788537621498,98.35874754935503,4.9179373774677515,9.754721015635761e-05,0.0,0.0,0.0,0.0,0.0,,57,train,73,22352,1254,121,8,False,1.0,1.0
apc_like_global_orchestrator,4.0,20,0.13891891182242233,26369.032166484918,74883.18899600566,127606.06016299877,139278.9798432602,19.94478516998886,19.944785169989018,19.944785169989018,0.17820337190135788,0.17820337190135788,0.17820337190135815,149430.44804256185,135037.6930665619,0.9559748427672956,152.0,0.0,0.0,465825693696.0,14392754176000.0,1.0,222992.0,3553968.0,0.09529668403199999,2.8785508352,0.023437770752,0.6789454102528001,0.18381153501184003,56719405219840.0,56719405219840.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,1134388.1043968,0.0,cohort_stage,latency_p50_ms,56719405219840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36679.792934400095,0.0,468755415040.0,848681762816.0,11.748995631933212,33.17979257553816,0.009417533874511719,0.20811986178159714,22.690859623253345,96.16898838430643,4.8084494192153215,6.432144357483162e-05,0.0,0.0,0.0,0.0,0.0,,57,train,73,22352,1254,121,8,False,1.0,1.0
pat_like_global_orchestrator,4.0,20,0.13891890126230946,26369.030162006533,74883.19993999958,127606.07110699269,139278.99078725412,19.9429817980875,19.942981798087658,19.942981798087658,0.17689246281139456,0.1768924628113946,0.17707505421640402,149430.44804256185,135037.6930665619,0.9559748427672956,152.0,0.0,0.0,465825693696.0,14392754176000.0,1.0,222992.0,3553968.0,0.09529668403199999,2.8785508352,0.023437770752,0.6789454102528001,0.18381153501184003,56719405219840.0,56719405219840.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,9.569920003414154,0.0,cohort_stage,latency_p50_ms,56719405219840.0,40.0,3.975,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.975,0.0,0.0,0.0,0.0,0.0,36679.792934400095,0.0,468755415040.0,848681762816.0,11.4753982052207,33.22666883468628,0.00872742384672165,2.400435507297516,25.32717678695917,102.61746123433113,5.1308730617165565,6.863441518089583e-05,0.0,0.0,0.0,0.0,0.0,,57,train,73,22352,1254,121,8,False,1.0,1.0
pat_like_traffic_only,4.0,20,0.37135813456029554,70489.71566969706,50416.17160579817,50416.17160579817,50416.17160579817,20.14478516998895,20.144785169989063,44.944877677517134,0.17820337190136354,0.17820337190136537,0.17820337190136537,201498.569664,0.0,0.9559748427672956,152.0,0.0,0.0,465825693696.0,201498558464000.0,1.75,222992.0,3553968.0,0.09529668403199999,40.2997116928,0.023437770752,0.6789454102528001,2.05486957789184,56719405219840.0,56719405219840.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,1134388.1043968,0.0,cohort_stage,latency_p50_ms,56719405219840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36679.792934400095,0.0,468755415040.0,848681762816.0,11.516518890857697,32.969383522868156,0.008143484592437744,10.731582529842854,37.33918070793152,111.478790640831,5.57393953204155,0.00011055856393904594,0.0,0.0,0.0,0.0,0.0,,57,train,73,22352,1254,121,8,False,1.0,1.0
