selected_policy,stages,faithful_stages,violations,pass,semantic_note
apc_like,111480,111480,0,True,"policy-specific execution under WaferAgent global_orchestrator; placement/scheduling are orchestrator-level semantics, not pure engine-level APC/PAT"
apc_like_global_orchestrator,82680,82680,0,True,"policy-specific execution under WaferAgent global_orchestrator; placement/scheduling are orchestrator-level semantics, not pure engine-level APC/PAT"
pat_like_global_orchestrator,82680,82680,0,True,"policy-specific execution under WaferAgent global_orchestrator; placement/scheduling are orchestrator-level semantics, not pure engine-level APC/PAT"
pat_like_traffic_only,82680,82680,0,True,"policy-specific execution under WaferAgent global_orchestrator; placement/scheduling are orchestrator-level semantics, not pure engine-level APC/PAT"
waferagent_latency_safe,136560,136560,0,True,"policy-specific execution under WaferAgent global_orchestrator; placement/scheduling are orchestrator-level semantics, not pure engine-level APC/PAT"
waferagent_no_affinity_placement,82680,82680,0,True,"policy-specific execution under WaferAgent global_orchestrator; placement/scheduling are orchestrator-level semantics, not pure engine-level APC/PAT"
waferagent_no_decode_cohort,82680,82680,0,True,"policy-specific execution under WaferAgent global_orchestrator; placement/scheduling are orchestrator-level semantics, not pure engine-level APC/PAT"
waferagent_no_kv_sharing,82680,82680,0,True,"policy-specific execution under WaferAgent global_orchestrator; placement/scheduling are orchestrator-level semantics, not pure engine-level APC/PAT"
waferagent_no_shared_kv_placement,82680,82680,0,True,"policy-specific execution under WaferAgent global_orchestrator; placement/scheduling are orchestrator-level semantics, not pure engine-level APC/PAT"
