config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,jct_p99_delta_vs_apc,benefit_scheduler_orchestrator_pct,benefit_decode_cohort_pct,benefit_affinity_placement_pct,benefit_shared_kv_placement_pct,benefit_prefill_cache_pct,benefit_adaptive_selection_pct,unexplained_pct,primary_benefit_source
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,0.9974246442685629,99.99369695383307,0.0,0.0,0.0,0.006303046166939917,0.0,0.0,scheduler_orchestrator
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,0.9831191116931396,0.0,5.0470661943366246e-05,90.36182502253419,0.0,9.63812450680387,0.0,0.0,affinity_placement
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,0.9989517545135486,0.0,0.0,88.62418753443487,0.0,11.37581246556512,0.0,1.4210854715202004e-14,affinity_placement
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,0.99219266062069,0.0,0.0013695642816588674,0.0,7.764396530827697,92.23423390489064,0.0,0.0,prefill_cache
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,0.9955691570795062,0.0,0.0005056566348624354,0.0,4.967692007496928,95.0318023358682,0.0,0.0,prefill_cache
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,0.9983681316435505,7.747830190413795,0.0,92.24389991819052,0.0,0.008269891395692138,0.0,0.0,affinity_placement
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,0.9986787101590296,0.0,0.0,2.8401386435584078e-05,49.99681853280242,50.00315306581115,0.0,0.0,prefill_cache
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,-1.25388790677304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
39,train,33,453,741,71,16,16.0,False,1.0,1.0,0.9871045482343809,0.0,0.0,0.0,49.98346806100187,50.016531938998135,0.0,0.0,prefill_cache
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,0.9966477059532163,4.813445350828751,0.0,95.18487848539017,0.0,0.0016761637811139706,0.0,0.0,affinity_placement
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,0.9991118011327959,0.0,0.0,2.13299253705786e-05,15.11263095251991,84.88734771755472,0.0,0.0,prefill_cache
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,0.9948790926572599,7.8438547563674215,0.0,92.12841363263072,0.0,0.027731611001847012,0.0,1.4210854715202004e-14,affinity_placement
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
46,train,35,513,134,27,32,32.0,False,1.0,1.0,0.9941617462665707,0.0,0.0,0.0,49.98884710671074,50.01115289328926,0.0,0.0,prefill_cache
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,-0.954690682650944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
48,train,18,45200,406,1626,8,8.0,False,1.0,1.0,0.9978656930737347,0.0,0.0,87.98657419733843,0.0,12.013425802661576,0.0,0.0,affinity_placement
49,train,53,11340,305,23,16,8.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
50,train,7,60696,412,117,32,32.0,False,1.0,1.0,-2.560275506186243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
51,train,21,1026,65,212,8,16.0,False,1.0,1.0,0.9949359945407614,0.0,0.000586083512482369,0.0,4.201649890044253,95.79776402644326,0.0,0.0,prefill_cache
52,train,111,45320,218,43,2,32.0,False,1.0,1.0,0.9839571085067038,4.7782590491182,0.0,95.21028642047756,0.0,0.011454530404233988,0.0,0.0,affinity_placement
53,train,33,51319,642,337,8,2.0,False,1.0,1.0,0.9972347972869312,0.0,0.0,88.1420180872275,0.0,11.857981912772518,0.0,0.0,affinity_placement
54,train,41,12296,79,49,32,2.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
55,train,21,21280,2223,34,2,4.0,False,1.0,1.0,0.9752445263446622,5.164985178432474,0.0,94.81735250391951,0.0,0.017662317648016193,0.0,0.0,affinity_placement
56,train,45,425,1609,70,8,2.0,True,1.0,1.0,0.9661754584247448,77.63738232821727,0.0,0.00025815005632554017,11.035943463546705,11.326416058179698,0.0,0.0,scheduler_orchestrator
57,train,73,22352,1254,121,8,4.0,False,1.0,1.0,0.9930330676201733,0.0,0.0,88.34586172548376,0.0,11.654138274516237,0.0,0.0,affinity_placement
58,train,25,26888,91,20,2,4.0,False,1.0,1.0,0.9661698474194478,5.270171648389685,0.0,94.70632877189958,0.0,0.023499579710746232,0.0,0.0,affinity_placement
59,train,57,8172,97,175,32,1.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
60,train,108,547,466,163,8,1.0,False,1.0,1.0,0.9874108341642694,56.87171282357168,0.0,0.0,21.514639128559892,21.613648047868427,0.0,0.0,scheduler_orchestrator
61,train,126,418,97,768,8,8.0,False,1.0,1.0,0.9959101859475641,0.0,0.0,0.0,49.99753967966424,50.002460320335764,0.0,0.0,prefill_cache
62,train,108,42131,1207,344,4,2.0,True,1.0,1.0,0.9994871111920045,7.64771956347373,0.0,92.35002902242209,0.0,0.0022514141041881726,0.0,0.0,affinity_placement
63,train,39,2756,393,90,8,4.0,False,1.0,1.0,0.9940710786834104,0.0,0.0013546150503706512,0.0,5.140112342473724,94.8585330424759,0.0,0.0,prefill_cache
64,train,28,582,124,36,16,1.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
65,train,32,3914,635,845,32,8.0,False,1.0,1.0,0.9998730668007436,0.0,0.6131169021240706,0.0,4.290996669531786,95.09588642834416,0.0,0.0,prefill_cache
66,train,102,20414,263,128,8,1.0,False,1.0,1.0,0.9959946711133904,0.0,0.0,89.0300421307131,0.0,10.969957869286889,0.0,1.4210854715202004e-14,affinity_placement
67,train,103,652,3422,612,2,8.0,True,1.0,1.0,0.9765619113919151,99.84006787371015,0.0,2.846194618803026e-05,0.0,0.15990366434366657,0.0,0.0,scheduler_orchestrator
68,train,27,5012,1450,533,4,16.0,False,1.0,1.0,0.9982914443966057,4.636702820862048,0.0,95.36263656056491,0.0,0.0006606185730440027,0.0,0.0,affinity_placement
69,train,49,297,3648,20,8,8.0,False,1.0,1.0,0.837015955763051,61.088566137240484,0.0,0.0,18.85092315241338,20.060510710346136,0.0,0.0,scheduler_orchestrator
70,train,90,737,2796,112,32,2.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
71,train,53,2798,678,21,16,2.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
72,train,109,796,75,17,32,32.0,True,1.0,1.0,0.9953426605782901,0.0,0.0,0.00010519652342994553,49.717106516755194,50.28278828672137,0.0,0.0,prefill_cache
73,train,103,41122,522,1067,16,1.0,True,1.0,1.0,-0.3222362676061505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
74,train,126,6629,412,1500,32,32.0,False,1.0,1.0,-2.813578434200695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
75,train,16,13192,489,38,2,1.0,True,1.0,1.0,0.9846053922028416,8.700642396810258,0.0,91.26115680059115,0.0,0.03820080259857819,0.0,1.4210854715202004e-14,affinity_placement
76,train,53,3382,74,893,4,4.0,True,1.0,1.0,0.9987536188641457,99.9710996594116,0.0,6.135141276434852e-06,0.0,0.028894205447121485,0.0,0.0,scheduler_orchestrator
77,train,39,581,1737,527,2,2.0,False,1.0,1.0,0.964310359847181,99.9380489940776,0.0,0.0,0.0,0.06195100592238521,0.0,1.4210854715202004e-14,scheduler_orchestrator
78,train,76,653,463,41,16,1.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
79,train,18,3423,104,528,2,8.0,False,1.0,1.0,0.9923923820420173,100.0,0.0,0.0,0.0,2.557606969982416e-15,0.0,0.0,scheduler_orchestrator
80,train,50,5814,81,18,32,2.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
81,train,85,565,875,351,4,2.0,False,1.0,1.0,0.984537855243916,99.97238623130544,0.0,0.0,0.0,0.02761376869456191,0.0,0.0,scheduler_orchestrator
82,train,20,4184,382,824,16,16.0,True,1.0,1.0,-0.3865530029158461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
83,train,63,19145,211,676,2,1.0,True,1.0,1.0,0.9989999903735728,6.760958109070573,0.0,93.23698862620437,0.0,0.0020532647250804024,0.0,0.0,affinity_placement
84,train,118,943,1043,838,8,1.0,True,1.0,1.0,0.9977697909355265,0.0,0.0,1.4108106618269336e-05,49.99234643978861,50.007639452104804,0.0,0.0,prefill_cache
85,train,56,5716,794,1332,32,1.0,False,1.0,1.0,-2.810842413856708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
86,train,109,1597,3824,17,16,4.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
