config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,oracle_best_policy,oracle_best_jct_p99_ms,apc_like_jct_p99_ms,waferagent_adaptive_jct_p99_ms,adaptive_regret_ms,adaptive_slowdown_vs_apc,oracle_speedup_vs_apc,adaptive_speedup_vs_apc,oracle_beneficial,adaptive_beneficial,adaptive_non_worse_than_apc_within_5pct,adaptive_within_5pct_of_oracle
29,train,113,755,328,21,32,1.0,False,1.0,1.0,waferagent_latency_safe,7.2711026948774125,1354.7927539208874,1354.7927539208874,1347.5216512260101,0.0,0.9946330516797982,0.0,True,False,True,False
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,apc_like,185429.36518238805,185429.36518238805,185429.36518238805,0.0,0.0,0.0,0.0,False,False,True,True
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,waferagent_latency_safe,32.43758762072317,12595.381377710764,32.43758762072317,0.0,-0.9974246442685629,0.9974246442685629,0.9974246442685629,True,True,True,True
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,waferagent_latency_safe,81.65040920667043,4836.8550115628705,81.65040920667043,0.0,-0.9831191116931396,0.9831191116931396,0.9831191116931396,True,True,True,True
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,waferagent_latency_safe,80.29707172339522,76601.39992133387,80.29707172339522,0.0,-0.9989517545135486,0.9989517545135486,0.9989517545135486,True,True,True,True
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,waferagent_latency_safe,32.06728095971287,4107.325095242191,32.06728095971287,0.0,-0.99219266062069,0.99219266062069,0.99219266062069,True,True,True,True
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,waferagent_latency_safe,23.49207668585317,5301.94301792918,23.49207668585317,0.0,-0.9955691570795062,0.9955691570795062,0.9955691570795062,True,True,True,True
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,waferagent_latency_safe,153.59156730054303,94120.07205943894,153.59156730054303,0.0,-0.9983681316435505,0.9983681316435505,0.9983681316435505,True,True,True,True
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,waferagent_latency_safe,108.7565489417281,82310.8946798997,108.7565489417281,0.0,-0.9986787101590296,0.9986787101590296,0.9986787101590296,True,True,True,True
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,apc_like,1313130.9138302952,1313130.9138302952,2959649.886691933,1646518.9728616378,1.25388790677304,0.0,-1.25388790677304,False,False,False,False
39,train,33,453,741,71,16,16.0,False,1.0,1.0,waferagent_latency_safe,16.736022153504575,1297.8236402795044,16.736022153504575,0.0,-0.9871045482343809,0.9871045482343809,0.9871045482343809,True,True,True,True
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,waferagent_latency_safe,51.80566673405274,15453.79552362293,51.80566673405274,0.0,-0.9966477059532163,0.9966477059532163,0.9966477059532163,True,True,True,True
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,waferagent_latency_safe,73.80265687064981,83092.49155312903,73.80265687064981,0.0,-0.9991118011327959,0.9991118011327959,0.9991118011327959,True,True,True,True
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,waferagent_latency_safe,20.15857604735903,16377.764926127244,16377.764926127244,16357.606350079885,0.0,0.9987691497503911,0.0,True,False,True,False
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,apc_like,2271076.3414282515,2271076.3414282515,2271076.3414282515,0.0,0.0,0.0,0.0,False,False,True,True
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,waferagent_latency_safe,106.98217368640738,20891.253546713182,106.98217368640738,0.0,-0.9948790926572599,0.9948790926572599,0.9948790926572599,True,True,True,True
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,apc_like,755723.0947020377,755723.0947020377,755723.0947020377,0.0,0.0,0.0,0.0,False,False,True,True
46,train,35,513,134,27,32,32.0,False,1.0,1.0,waferagent_latency_safe,6.846268574866786,1172.6569086344675,6.846268574866786,0.0,-0.9941617462665707,0.9941617462665707,0.9941617462665707,True,True,True,True
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,apc_like,322697.0523454877,322697.0523454877,630772.9215386488,308075.8691931611,0.954690682650944,0.0,-0.954690682650944,False,False,False,False
48,train,18,45200,406,1626,8,8.0,False,1.0,1.0,waferagent_latency_safe,2881.9105750417916,1350279.35278493,2881.9105750417916,0.0,-0.9978656930737347,0.9978656930737347,0.9978656930737347,True,True,True,True
49,train,53,11340,305,23,16,8.0,True,1.0,1.0,waferagent_latency_safe,19314.875517423778,22745.753816071832,22745.753816071832,3430.8782986480546,0.0,0.1508359901540763,0.0,True,False,True,False
50,train,7,60696,412,117,32,32.0,False,1.0,1.0,apc_like,586675.5487757822,586675.5487757822,2088726.5863847898,1502051.0376090077,2.560275506186243,0.0,-2.560275506186243,False,False,False,False
51,train,21,1026,65,212,8,16.0,False,1.0,1.0,waferagent_latency_safe,20.299587201348604,4008.6029457797545,20.299587201348604,0.0,-0.9949359945407614,0.9949359945407614,0.9949359945407614,True,True,True,True
52,train,111,45320,218,43,2,32.0,False,1.0,1.0,waferagent_latency_safe,86.11527890835275,5367.815330817226,86.11527890835275,0.0,-0.9839571085067038,0.9839571085067038,0.9839571085067038,True,True,True,True
53,train,33,51319,642,337,8,2.0,False,1.0,1.0,waferagent_latency_safe,882.6752922604096,319208.16802643007,882.6752922604096,0.0,-0.9972347972869312,0.9972347972869312,0.9972347972869312,True,True,True,True
54,train,41,12296,79,49,32,2.0,True,1.0,1.0,apc_like,102938.03244953777,102938.03244953777,102938.03244953777,0.0,0.0,0.0,0.0,False,False,True,True
55,train,21,21280,2223,34,2,4.0,False,1.0,1.0,waferagent_latency_safe,50.085900419076694,2023.2252921679506,50.085900419076694,0.0,-0.9752445263446622,0.9752445263446622,0.9752445263446622,True,True,True,True
56,train,45,425,1609,70,8,2.0,True,1.0,1.0,waferagent_latency_safe,41.213181329009124,1218.440203759013,41.213181329009124,0.0,-0.9661754584247448,0.9661754584247448,0.9661754584247448,True,True,True,True
57,train,73,22352,1254,121,8,4.0,False,1.0,1.0,waferagent_latency_safe,351.24466504085683,50415.97160579817,351.24466504085683,0.0,-0.9930330676201733,0.9930330676201733,0.9930330676201733,True,True,True,True
58,train,25,26888,91,20,2,4.0,False,1.0,1.0,waferagent_latency_safe,52.91979534754122,1564.2789438071554,52.91979534754122,0.0,-0.9661698474194478,0.9661698474194478,0.9661698474194478,True,True,True,True
59,train,57,8172,97,175,32,1.0,False,1.0,1.0,apc_like,117242.69156340521,117242.69156340521,117242.69156340521,0.0,0.0,0.0,0.0,False,False,True,True
60,train,108,547,466,163,8,1.0,False,1.0,1.0,waferagent_latency_safe,20.838585218745067,1655.2792687503497,20.838585218745067,0.0,-0.9874108341642694,0.9874108341642694,0.9874108341642694,True,True,True,True
61,train,126,418,97,768,8,8.0,False,1.0,1.0,waferagent_latency_safe,24.186375920553886,5913.808209971756,24.186375920553886,0.0,-0.9959101859475641,0.9959101859475641,0.9959101859475641,True,True,True,True
62,train,108,42131,1207,344,4,2.0,True,1.0,1.0,waferagent_latency_safe,137.20123671571997,267506.7862212268,137.20123671571997,0.0,-0.9994871111920045,0.9994871111920045,0.9994871111920045,True,True,True,True
63,train,39,2756,393,90,8,4.0,False,1.0,1.0,waferagent_latency_safe,27.088833638629474,4568.931208925493,27.088833638629474,0.0,-0.9940710786834104,0.9940710786834104,0.9940710786834104,True,True,True,True
64,train,28,582,124,36,16,1.0,True,1.0,1.0,waferagent_latency_safe,17.583042801971644,1765.8536870339794,1765.8536870339794,1748.2706442320077,0.0,0.9900427521650986,0.0,True,False,True,False
65,train,32,3914,635,845,32,8.0,False,1.0,1.0,waferagent_latency_safe,34.15924239443107,269111.96278469585,34.15924239443107,0.0,-0.9998730668007436,0.9998730668007436,0.9998730668007436,True,True,True,True
66,train,102,20414,263,128,8,1.0,False,1.0,1.0,waferagent_latency_safe,194.87931807658168,48655.01026097711,194.87931807658168,0.0,-0.9959946711133904,0.9959946711133904,0.9959946711133904,True,True,True,True
67,train,103,652,3422,612,2,8.0,True,1.0,1.0,waferagent_latency_safe,75.24603124902902,3210.4167070634294,75.24603124902902,0.0,-0.9765619113919151,0.9765619113919151,0.9765619113919151,True,True,True,True
68,train,27,5012,1450,533,4,16.0,False,1.0,1.0,waferagent_latency_safe,36.02647292982998,21085.923606030778,36.02647292982998,0.0,-0.9982914443966057,0.9982914443966057,0.9982914443966057,True,True,True,True
69,train,49,297,3648,20,8,8.0,False,1.0,1.0,waferagent_latency_safe,20.96770176230458,128.64880031950474,20.96770176230458,0.0,-0.837015955763051,0.837015955763051,0.837015955763051,True,True,True,True
70,train,90,737,2796,112,32,2.0,True,1.0,1.0,waferagent_latency_safe,69.3334673989903,13820.198916602614,13820.198916602614,13750.865449203624,0.0,0.9949831787648369,0.0,True,False,True,False
71,train,53,2798,678,21,16,2.0,False,1.0,1.0,waferagent_latency_safe,16.496646312429917,2426.7335371269055,2426.7335371269055,2410.2368908144754,0.0,0.9932021187905281,0.0,True,False,True,False
72,train,109,796,75,17,32,32.0,True,1.0,1.0,waferagent_latency_safe,11.061284744144292,2375.0222482353465,11.061284744144292,0.0,-0.9953426605782901,0.9953426605782901,0.9953426605782901,True,True,True,True
73,train,103,41122,522,1067,16,1.0,True,1.0,1.0,apc_like,3572120.3721295516,3572120.3721295516,4723187.108284472,1151066.73615492,0.3222362676061505,0.0,-0.3222362676061505,False,False,False,False
74,train,126,6629,412,1500,32,32.0,False,1.0,1.0,apc_like,808838.7399088345,808838.7399088345,3084569.975262396,2275731.2353535616,2.813578434200695,0.0,-2.813578434200695,False,False,False,False
75,train,16,13192,489,38,2,1.0,True,1.0,1.0,waferagent_latency_safe,64.11327531243951,4164.657921605107,64.11327531243951,0.0,-0.9846053922028416,0.9846053922028416,0.9846053922028416,True,True,True,True
76,train,53,3382,74,893,4,4.0,True,1.0,1.0,waferagent_latency_safe,69.14522516279028,55476.79050469475,69.14522516279028,0.0,-0.9987536188641457,0.9987536188641457,0.9987536188641457,True,True,True,True
77,train,39,581,1737,527,2,2.0,False,1.0,1.0,waferagent_latency_safe,29.628244194924157,830.1637132809244,29.628244194924157,0.0,-0.964310359847181,0.964310359847181,0.964310359847181,True,True,True,True
78,train,76,653,463,41,16,1.0,False,1.0,1.0,waferagent_latency_safe,10.997238652477467,1087.4263849208837,1087.4263849208837,1076.4291462684062,0.0,0.9898869120659808,0.0,True,False,True,False
79,train,18,3423,104,528,2,8.0,False,1.0,1.0,waferagent_latency_safe,36.20517003706993,4759.067849757071,36.20517003706993,0.0,-0.9923923820420173,0.9923923820420173,0.9923923820420173,True,True,True,True
80,train,50,5814,81,18,32,2.0,True,1.0,1.0,apc_like,18556.107453535715,18556.107453535715,18556.107453535715,0.0,0.0,0.0,0.0,False,False,True,True
81,train,85,565,875,351,4,2.0,False,1.0,1.0,waferagent_latency_safe,24.464881901468058,1582.2437499714688,24.464881901468058,0.0,-0.984537855243916,0.984537855243916,0.984537855243916,True,True,True,True
82,train,20,4184,382,824,16,16.0,True,1.0,1.0,apc_like,280596.9101451758,280596.9101451758,389062.4883707014,108465.57822552556,0.3865530029158461,0.0,-0.3865530029158461,False,False,False,False
83,train,63,19145,211,676,2,1.0,True,1.0,1.0,waferagent_latency_safe,102.13239622896793,102131.41306834645,102.13239622896793,0.0,-0.9989999903735728,0.9989999903735728,0.9989999903735728,True,True,True,True
84,train,118,943,1043,838,8,1.0,True,1.0,1.0,waferagent_latency_safe,69.49180410065527,31159.322777241065,69.49180410065527,0.0,-0.9977697909355265,0.9977697909355265,0.9977697909355265,True,True,True,True
85,train,56,5716,794,1332,32,1.0,False,1.0,1.0,apc_like,619358.9414011268,619358.9414011268,2360279.3232928053,1740920.3818916786,2.810842413856708,0.0,-2.810842413856708,False,False,False,False
86,train,109,1597,3824,17,16,4.0,False,1.0,1.0,waferagent_latency_safe,18.09081516373502,1143.7655460581618,1143.7655460581618,1125.6747308944268,0.0,0.9841831088319782,0.0,True,False,True,False
87,train,36,312,251,18,2,1.0,True,1.0,1.0,waferagent_latency_safe,9.381682744154823,52.64197048175629,9.381682744154823,0.0,-0.8217832148322382,0.8217832148322382,0.8217832148322382,True,True,True,True
88,train,22,7928,1014,1254,4,32.0,True,1.0,1.0,waferagent_latency_safe,91.07455011129285,182729.73873704797,91.07455011129285,0.0,-0.999501588790414,0.999501588790414,0.999501588790414,True,True,True,True
89,train,120,6219,64,191,2,16.0,True,1.0,1.0,waferagent_latency_safe,67.4714294901418,9468.797889004218,67.4714294901418,0.0,-0.9928743405149143,0.9928743405149143,0.9928743405149143,True,True,True,True
90,train,89,398,347,117,2,16.0,False,1.0,1.0,waferagent_latency_safe,23.158282229677383,144.04668956087744,23.158282229677383,0.0,-0.8392307223423544,0.8392307223423544,0.8392307223423544,True,True,True,True
91,train,88,606,696,23,32,4.0,True,1.0,1.0,waferagent_latency_safe,18.178041277409438,2418.224426879012,2418.224426879012,2400.046385601602,0.0,0.9924828973376675,0.0,True,False,True,False
92,train,74,15886,1032,838,16,2.0,False,1.0,1.0,apc_like,524596.2417210485,524596.2417210485,1420582.6522770708,895986.4105560223,1.7079543071382863,0.0,-1.7079543071382863,False,False,False,False
93,train,99,1366,88,143,4,8.0,False,1.0,1.0,waferagent_latency_safe,19.889892671821762,1551.8968349079328,19.889892671821762,0.0,-0.9871834955620604,0.9871834955620604,0.9871834955620604,True,True,True,True
94,train,13,2724,86,312,4,32.0,False,1.0,1.0,waferagent_latency_safe,31.988082231297224,6704.418401271298,31.988082231297224,0.0,-0.9952288057939177,0.9952288057939177,0.9952288057939177,True,True,True,True
95,train,83,272,3274,18,4,16.0,True,1.0,1.0,waferagent_latency_safe,36.163604031009136,124.8468204790092,36.163604031009136,0.0,-0.7103362032588614,0.7103362032588614,0.7103362032588614,True,True,True,True
96,validation,10,21306,1404,589,16,1.0,True,1.0,1.0,apc_like,1023024.907475308,1023024.907475308,1351709.8622090707,328684.95473376266,0.321287343379463,0.0,-0.321287343379463,False,False,False,False
97,validation,35,11332,370,96,4,4.0,True,1.0,1.0,waferagent_latency_safe,77.83878627661142,20369.23731087167,77.83878627661142,0.0,-0.9961786106623116,0.9961786106623116,0.9961786106623116,True,True,True,True
98,validation,64,1346,1295,164,2,1.0,True,1.0,1.0,waferagent_latency_safe,51.166690356172495,1782.3053348117844,51.166690356172495,0.0,-0.9712918491816243,0.9712918491816243,0.9712918491816243,True,True,True,True
99,validation,44,349,160,90,32,8.0,True,1.0,1.0,waferagent_latency_safe,46.39081268477147,5290.423316473964,46.39081268477147,0.0,-0.9912311718912332,0.9912311718912332,0.9912311718912332,True,True,True,True
100,validation,3,277,2890,626,8,1.0,False,1.0,1.0,waferagent_latency_safe,36.17713969567875,3216.7186109356803,36.17713969567875,0.0,-0.988753402435423,0.988753402435423,0.988753402435423,True,True,True,True
101,validation,36,457,2434,137,8,4.0,True,1.0,1.0,waferagent_latency_safe,56.491753998064475,2526.1704106880684,56.491753998064475,0.0,-0.9776373938357241,0.9776373938357241,0.9776373938357241,True,True,True,True
102,validation,17,11925,208,48,16,1.0,True,1.0,1.0,apc_like,48170.135668213385,48170.135668213385,62942.171156614204,14772.03548840082,0.306663771722541,0.0,-0.306663771722541,False,False,False,False
103,validation,63,459,151,81,4,32.0,False,1.0,1.0,waferagent_latency_safe,16.271731687666787,307.33144955446693,16.271731687666787,0.0,-0.9470547784443941,0.9470547784443941,0.9470547784443941,True,True,True,True
104,validation,89,2337,141,194,2,1.0,True,1.0,1.0,waferagent_latency_safe,41.2385227370204,3599.0016465269655,41.2385227370204,0.0,-0.988541677168496,0.988541677168496,0.988541677168496,True,True,True,True
