config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,baseline,jct_p99_ms,mesh_total_traffic_bytes
9,train,94,530,383,339,16,8.0,False,1.0,1.0,pat_like_global_orchestrator,17951.71743777716,3296958873600.0
9,train,94,530,383,339,16,8.0,False,1.0,1.0,waferagent_adaptive,21.738469268517935,0.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,apc_like,124596.1533081272,546348408832000.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,apc_like_global_orchestrator,168296.5067512387,28120873984000.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,pat_like_traffic_only,131966.93971104827,536842316821268.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,pat_like_global_orchestrator,168296.5936822248,28120873984000.0
10,train,109,45193,77,32,16,32.0,True,1.0,1.0,waferagent_adaptive,92475.23048243849,20538746757120.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,apc_like,32753.57149976728,78478868413440.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,apc_like_global_orchestrator,40976.45582263332,4359937134080.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,pat_like_traffic_only,32755.771499767277,78478868413440.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,pat_like_global_orchestrator,40976.464332318064,4359937134080.0
11,train,41,14923,1368,54,8,2.0,True,1.0,1.0,waferagent_adaptive,180.2100860313331,135004229120.0
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,apc_like,78944.10616019036,631294132224000.0
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,apc_like_global_orchestrator,211972.5882816443,36825491046400.0
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,pat_like_traffic_only,78944.30616019036,631294132224000.0
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,pat_like_global_orchestrator,211972.58828164436,36825491046400.0
12,train,36,37942,1196,51,16,2.0,False,1.0,1.0,waferagent_adaptive,78944.10616019036,631294132224000.0
13,train,10,1878,1320,84,8,2.0,False,1.0,1.0,apc_like,2914.639828166905,11579047280640.0
13,train,10,1878,1320,84,8,2.0,False,1.0,1.0,apc_like_global_orchestrator,2818.1530741802644,827074805760.0
13,train,10,1878,1320,84,8,2.0,False,1.0,1.0,pat_like_traffic_only,971.0051386167313,95113602662.0
13,train,10,1878,1320,84,8,2.0,False,1.0,1.0,pat_like_global_orchestrator,2818.0171381733608,827074805760.0
13,train,10,1878,1320,84,8,2.0,False,1.0,1.0,waferagent_adaptive,28.562433126903663,0.0
14,train,29,37770,128,128,32,16.0,False,1.0,1.0,apc_like,398721.92922321777,6378954382376960.0
14,train,29,37770,128,128,32,16.0,False,1.0,1.0,apc_like_global_orchestrator,1611290.7555135642,565874985533440.0
14,train,29,37770,128,128,32,16.0,False,1.0,1.0,pat_like_traffic_only,398722.1292232178,6198356879605760.0
14,train,29,37770,128,128,32,16.0,False,1.0,1.0,pat_like_global_orchestrator,1611290.7555135642,565874985533440.0
14,train,29,37770,128,128,32,16.0,False,1.0,1.0,waferagent_adaptive,398721.92922321777,6378954382376960.0
15,train,113,24883,936,206,4,4.0,False,1.0,1.0,apc_like,40708.01382179106,81341731307520.0
15,train,113,24883,936,206,4,4.0,False,1.0,1.0,apc_like_global_orchestrator,64.86580382395842,0.0
15,train,113,24883,936,206,4,4.0,False,1.0,1.0,pat_like_traffic_only,40708.213821791054,81341731307520.0
15,train,113,24883,936,206,4,4.0,False,1.0,1.0,pat_like_global_orchestrator,65.03033164148479,0.0
15,train,113,24883,936,206,4,4.0,False,1.0,1.0,waferagent_adaptive,64.86674658611435,0.0
16,train,105,1362,196,290,2,8.0,True,1.0,1.0,apc_like,3147.5046653790623,3106249252800.0
16,train,105,1362,196,290,2,8.0,True,1.0,1.0,apc_like_global_orchestrator,45.503091585462215,0.0
16,train,105,1362,196,290,2,8.0,True,1.0,1.0,pat_like_traffic_only,3261.980359057706,2050124554172.0
16,train,105,1362,196,290,2,8.0,True,1.0,1.0,pat_like_global_orchestrator,47.664418198083624,0.0
16,train,105,1362,196,290,2,8.0,True,1.0,1.0,waferagent_adaptive,45.50241819808362,0.0
17,train,10,264,258,178,32,16.0,True,1.0,1.0,apc_like,7857.135199828665,65388852756480.0
17,train,10,264,258,178,32,16.0,True,1.0,1.0,apc_like_global_orchestrator,14943.622778537696,5666627778560.0
17,train,10,264,258,178,32,16.0,True,1.0,1.0,pat_like_traffic_only,7857.535199828664,65388852756480.0
