strategy,mesh,island_size,object_accesses,avg_hops,remote_object_accesses,moved_bytes,estimated_latency_units,movement_reduction_vs_random,latency_reduction_vs_random
baseline_random,5x5,0,8958,3.2258316588524223,8614,15655133.0,20637.463299999996,0.0,0.0
session_affinity,5x5,0,8958,3.19546773833445,8710,15620878.0,20538.8378,0.0021881002224637403,0.0047789545917688026
agent_island,5x5,3,8958,1.7745032373297611,7928,8531802.0,15374.7802,0.45501568079939025,0.25500629721289425
