prefix_tokens,query_tile_size,num_shards,dtype,independent_attention_ms,query_tiled_attention_ms,blockwise_partial_attention_ms,merge_ms,device
512,1,1,bf16_storage_fp32_accum,119.36491634696722,119.36491634696722,2.317831851541996,0.0,NVIDIA H100 PCIe
512,1,2,bf16_storage_fp32_accum,2.463068813085556,2.463068813085556,4.890778101980686,2.42770928889513,NVIDIA H100 PCIe
512,1,4,bf16_storage_fp32_accum,2.4622073397040367,2.4622073397040367,9.802859276533127,7.34065193682909,NVIDIA H100 PCIe
512,1,8,bf16_storage_fp32_accum,2.4639060720801353,2.4639060720801353,19.61198542267084,17.148079350590706,NVIDIA H100 PCIe
512,2,1,bf16_storage_fp32_accum,37.23069652915001,37.23069652915001,2.413160167634487,0.0,NVIDIA H100 PCIe
512,2,2,bf16_storage_fp32_accum,2.4731894955039024,2.4731894955039024,4.91583626717329,2.442646771669388,NVIDIA H100 PCIe
512,2,4,bf16_storage_fp32_accum,2.473648637533188,2.473648637533188,9.837034158408642,7.363385520875454,NVIDIA H100 PCIe
512,2,8,bf16_storage_fp32_accum,2.4732789024710655,2.4732789024710655,19.655956886708736,17.18267798423767,NVIDIA H100 PCIe
512,4,1,bf16_storage_fp32_accum,2.4723242968320847,2.4723242968320847,2.4579940363764763,0.0,NVIDIA H100 PCIe
512,4,2,bf16_storage_fp32_accum,2.475285902619362,2.475285902619362,4.920776933431625,2.4454910308122635,NVIDIA H100 PCIe
512,4,4,bf16_storage_fp32_accum,2.472454681992531,2.472454681992531,9.840655140578747,7.368200458586216,NVIDIA H100 PCIe
512,4,8,bf16_storage_fp32_accum,2.4738823994994164,2.4738823994994164,21.429775282740593,18.955892883241177,NVIDIA H100 PCIe
512,8,1,bf16_storage_fp32_accum,2.476622350513935,2.476622350513935,2.4399124085903168,0.0,NVIDIA H100 PCIe
512,8,2,bf16_storage_fp32_accum,2.4745119735598564,2.4745119735598564,4.925182089209557,2.4506701156497,NVIDIA H100 PCIe
512,8,4,bf16_storage_fp32_accum,2.474360167980194,2.474360167980194,9.84177552163601,7.367415353655815,NVIDIA H100 PCIe
512,8,8,bf16_storage_fp32_accum,2.472909167408943,2.472909167408943,19.671142101287842,17.1982329338789,NVIDIA H100 PCIe
512,16,1,bf16_storage_fp32_accum,2.4732090532779694,2.4732090532779694,2.4582650512456894,0.0,NVIDIA H100 PCIe
512,16,2,bf16_storage_fp32_accum,2.4748975411057472,2.4748975411057472,4.917386919260025,2.442489378154278,NVIDIA H100 PCIe
512,16,4,bf16_storage_fp32_accum,2.472328022122383,2.472328022122383,9.84326284378767,7.370934821665287,NVIDIA H100 PCIe
512,16,8,bf16_storage_fp32_accum,2.4740202352404594,2.4740202352404594,19.667738117277622,17.193717882037163,NVIDIA H100 PCIe
