Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/opportunity_m0.25_c4
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,2334123,0.0,7.264975388110564
lru-basic,2168665,0.6747474747474748,1.0
lru-system,2168665,0.6747474747474748,1.0
kvflow-like,2287400,0.43232323232323233,5.495834911018553
asg-retention-v2-graph-only,2142255,0.7164983164983165,0.0
asg-retention-v2-online,2142255,0.7164983164983165,0.0
asg-retention-v2-trace-stats,2142327,0.7218855218855219,0.0027262400605831123
asg-retention-v2-oracle,2142255,0.7164983164983165,0.0
asg-placement-v2-online,2142255,0.7164983164983165,0.0
asg-prefetch-v2-online,2142255,0.7164983164983165,0.0
