policy,total_cycles,pure_comp_cycles,pure_comm_cycles,effective_prefill_tokens,total_input_tokens,append_tokens,decode_tokens,llm_output_tokens,tool_output_tokens,cache_hit_ratio,effective_prefill_reduction,kv_migration_bytes,demand_migration_bytes,prefetch_migration_bytes,num_kv_migrations,num_prefetch_events,local_state_hits,remote_state_hits,state_misses,tool_wait_cycles,tool_wait_overlap_ratio,remote_read_bytes,num_remote_reads,remote_read_cycles,migration_skipped_by_cost,static_replica_bytes,num_static_replicas,unused_prefetch_events,migration_cost_estimate_cycles,remote_read_cost_estimate_cycles,busybarn_events
nocache,26471643000,496855000,0,601771,585169,16602,11844,11844,45421,0.0,0.0,0,0,0,0,0,0,0,2078,87987000000,0.0,0,0,0,0,0,0,0,0,0,343
lru,26441307000,404940000,0,471083,585169,16602,11844,11844,45421,0.12319538017324351,0.21717231305596318,0,0,0,0,0,256,0,1822,87987000000,0.0,0,0,0,0,2147483648,8,0,0,0,343
kvflow,26449971000,435926000,0,510606,585169,16602,11844,11844,45421,0.1323387872954764,0.1514945053849388,0,0,0,0,0,218,57,1803,87987000000,0.0,0,0,0,0,2147483648,8,0,0,0,343
asg-retention,26443363000,412594000,0,482810,585169,16602,11844,11844,45421,0.2179980750721848,0.19768483359949218,0,0,0,0,0,342,111,1625,87987000000,0.0,0,0,0,0,2147483648,8,0,0,0,343
asg-placement,26549286963,390801225,10120368,482810,585169,16602,11844,11844,45421,0.2179980750721848,0.19768483359949218,2259156992,2259156992,0,22,0,368,85,1625,87987000000,0.0,2720530432,63,10627432,63,2147483648,8,0,175812575232,193429266432,428
asg-prefetch,26549286963,390801225,10120368,482810,585169,16602,11844,11844,45421,0.2179980750721848,0.19768483359949218,2259156992,2259156992,0,22,0,368,85,1625,87987000000,0.0,2720530432,63,10627432,63,2147483648,8,0,175812575232,193429266432,428
