baseline,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,kv_bytes_total,kv_saving_ratio,sram_evictions,sram_reload_bytes,sram_hit_rate,mesh_total_traffic_bytes,mesh_wait_ms,mesh_hotspot_ratio,prefill_tile_utilization,decode_tile_utilization,energy_per_job_j
continuum_like,1202.9306249565577,17.030220022484542,318.7385308496358,442.94648889372263,5016.26972350866,12563338581.333334,0.0,0.0,0.0,0.0,90752596195.55556,0.0,5.53512565829347,0.00036469858935399453,0.000842376280053804,0.05753223759644444
kvflow_like,847.7838055722357,14.458282849355632,249.11778441526496,348.65266369437853,10642.600992139938,6337593344.0,0.4949182873094045,0.0,893852785.7777778,0.8113226479290296,3442440078.2222223,0.0,2.837828567210643,0.0018206569243348594,0.0045336767818703935,0.04007020637297778
oracle,740.0346088069031,8.47267328009135,229.63700149308156,327.0148634745613,19342.374484758446,6337593344.0,0.4949182873094045,0.0,261910983.1111111,0.9085448701512518,431303.1111111111,0.10065503999981867,1.6187561200883989,0.00454897956593,0.007366602923459093,0.039381804617955554
wafer_naive,1763.168660890687,24.66767897200447,445.69821538735175,588.4032058567343,3551.0372969747514,12563338581.333334,0.0,0.0,0.0,0.0,253129357198.22223,0.0,1.7490607567524685,0.0002580019096905314,0.00043335619981417305,0.09000758979697779
waferagent_full,793.2406895980569,14.063926994680378,235.86115558158872,333.991726544564,11574.683306241062,6337593344.0,0.4949182873094045,0.0,893852785.7777778,0.8113226479290296,239040597.33333334,0.10067783111090181,1.7298672047085664,0.002257386710789064,0.0036518020799449673,0.039429526476799995
