policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
asg-prefetch-v2-online,heuristic,heuristic,2,0.25,722419857,,,5.758424217843724e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,133288096,19079180,20916469760,132120576,14229700608,30704137,24882482,210,1555,1202,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
lru-system,none,none,4,0.25,718733000,,,5.787962984863642e-07,330694,37224448,1,1,159,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24290280041759005,0.9996434937611408,196654000,0,0,0,0,0,0,0,1798,1006,"{""agent_role"": 2, ""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 1, ""task_prefix"": 1, ""test_failure_summary"": 1, ""tool_observation"": 1}",1.0,False
kvflow-like,none,none,4,0.25,730656000,,,5.693513773923707e-07,402726,37802737664,1420,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.0779913551530248,0.49376114081996436,209240000,0,0,0,0,0,0,0,1092,293,"{""agent_role"": 11, ""file_context"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",-68.86614936954413,False
asg-retention-v2-online,heuristic,heuristic,4,0.25,718745000,,,5.787866350374612e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,197137000,0,0,0,0,0,0,0,1686,1071,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
asg-retention-v2-oracle,oracle,oracle,4,0.25,718745000,,,5.787866350374612e-07,331725,577765376,48,1,159,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,197137000,0,0,0,0,0,0,0,1640,1117,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
asg-placement-v2-online,heuristic,heuristic,4,0.25,720303972,,,5.775339525685692e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,165780502,6005189,17730895872,88080384,0,0,0,0,1692,1065,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
asg-prefetch-v2-online,heuristic,heuristic,4,0.25,722515258,,,5.757663874829893e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,142148729,17493875,19941818368,81788928,15776874496,36627295,25003077,246,1659,1098,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
lru-system,none,none,8,0.25,718733000,,,5.787962984863642e-07,330694,37224448,1,1,159,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24290280041759005,0.9996434937611408,196654000,0,0,0,0,0,0,0,1792,1012,"{""agent_role"": 2, ""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 1, ""task_prefix"": 1, ""test_failure_summary"": 1, ""tool_observation"": 1}",1.0,False
kvflow-like,none,none,8,0.25,732471000,,,5.679405737565037e-07,412851,43111153664,1501,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.05481098554918584,0.4648841354723708,212799000,0,0,0,0,0,0,0,1037,267,"{""agent_role"": 11, ""file_context"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",-78.68671193016489,False
asg-retention-v2-online,heuristic,heuristic,8,0.25,718745000,,,5.787866350374612e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,197137000,0,0,0,0,0,0,0,1696,1061,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
