baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,prefill_compute_ms_saved,mesh_traffic_bytes,jct_ms,slo_goodput,energy_j
apc_like,1.0,100,3.406192838792794,149218.49588183474,17302.980307611426,29279.641271389854,29358.290834596875,6.911555683145518,8.163424198787498,17.17815327406116,0.1089285264802489,0.1119033535642467,0.1119033535642467,24602.853447475187,0.0,0.9107142857142856,765.0,0.831764705882353,69.0,52168753152.0,123014216784896.0,4.070760211689197,2163200.0,2112000.0,0.8921284608,24.602843356979204,0.01400897536,0.0430771798016,0.255520579729408,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599933,224655310848.0,55524196352.0,53846474752.0,77.01481599360704,237.0932772755623,0.0676726922392845,1.162426546216011,120.48191484063864,580.4312024265528,5.804312024265528,0.0003354465437329,13193.271705599933,123014216784896.0,17302.980307611426,1.703096419396397,0.255520579729408
kvflow_like,1.0,100,3.406192838792794,149218.49588183474,17302.980307611426,29279.641271389854,29358.290834596875,6.911555683145518,8.163424198787498,17.17815327406116,0.1089285264802489,0.1119033535642467,0.1119033535642467,24604.108403955182,0.0,0.9107142857142856,765.0,0.8211764705882353,78.0,53443821568.0,123020491463680.0,4.070700960570621,2163200.0,2112000.0,0.8921284608,24.604098292736,0.01400897536,0.0440972345344,0.255543329634304,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599933,223380242432.0,56799264768.0,55121543168.0,77.47970893979073,234.94963627308607,0.0460380688309669,1.1804252862930298,120.34791335463524,577.6568241417408,5.776568241417408,0.0003338343526761,13193.271705599933,123020491463680.0,17302.980307611426,1.703096419396397,0.255543329634304
no_cache,1.0,100,3.395446419497346,148747.71674533974,17410.817491563394,29451.20836711768,29451.20836711768,14.649519384475829,21.135614570164154,21.135614570164154,0.1089285264802489,0.1119033535642467,0.1119033535642467,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.69941804544,0.02801795072,0.1744830464,0.2662451969535999,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,78.15625425428152,239.08493015915155,0.0452855601906776,1.2533608824014664,126.33448466658592,591.6977170854807,5.916977170854807,0.0003398448794102,0.0,123497090227200.0,17410.817491563394,1.697723209748673,0.2662451969535999
pat_like,1.0,100,2.447234831054899,107208.46347885302,9187.541835729957,30294.356516701733,40862.445328768335,5.376122107216402,6.911519181363559,17.37815327406116,0.1084782422656223,0.1114433969050621,0.1115966086502555,12871.142869181396,0.0,0.9107142857142856,765.0,0.7670588235294118,141.0,85102428160.0,64355680806995.0,5.622254770372102,2163200.0,2112000.0,0.8921284608,12.871136161399,0.01400897536,0.0694241198079999,0.13846697717367,16843358496323.0,35540854374400.0,0.5260845921460111,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,10.658848136663435,0.0,cohort_stage,latency_p50_ms,16843358496323.0,83.0,8.397590361445783,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,8.397590361445783,0.1770857999059073,0.0,0.0,0.0,0.0,13193.27170559993,191721635840.0,88457871360.0,86780149760.0,78.14411539584398,373.1262404471636,0.023876316845417,9.374436922371387,127.0088441669941,727.0507598295808,7.270507598295808,0.0005762317837755,13193.27170559993,64355680806995.0,9187.541835729957,1.4683408986329394,0.13846697717367
waferagent_latency_safe,1.0,100,4.051019617647831,177467.0674099162,5225.003951854333,17819.634993441512,24004.820338411108,5.376444475974581,6.911555683145518,17.17815327406116,0.1088065057547166,0.1117448654273664,0.1118241094958065,8205.245117466866,9936.12184232846,0.9107142857142856,765.0,0.7291666666666666,263.0,144401498112.0,2040176766464.0,2.2699581620089577,2163200.0,2112000.0,0.8921284608,0.4080353532928,0.8464273244114,0.1182055530496,0.022647966915538,28969554411428.0,35540854374400.0,0.1848942598213196,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,23.472992047667503,0.0,cohort_stage,latency_p50_ms,28969554411428.0,183.0,2.0,623.0,183.0,0.0,0.0,0.0,0.0,440.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599933,16862804967332.0,65741520896.0,147756941312.0,78.34831066429615,237.29236144572496,0.0221999362111091,25.30060615390539,142.27659720927477,612.4378051608801,6.124378051608801,0.0007529717250892,13193.271705599933,2040176766464.0,5225.003951854333,3.1192851055888298,0.022647966915538
