mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,device,dtype,exact_merge,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_mad_ms,valid_reps,memory_bytes_estimated,shared_read_bytes_estimated,max_abs_error,oom,outlier_count,latency_ms,independent_latency_ms,independent_memory_bytes,latency_speedup,read_byte_reduction_ratio,reps,warmup_reps
cohort_attention,512,64,1,28,128,cuda:1,float16,True,0.1180320009589195,0.1228544026613235,0.1262495970726013,0.0029440000653266,30,7340032.0,7340032.0,0.0,0,0,0.1180320009589195,0.1411519944667816,7340032.0,1.1958790270437667,0.0,30,10
cohort_attention,512,64,2,28,128,cuda:1,float16,True,0.1328320056200027,0.137728002667427,0.1393484777212142,0.0021760016679763,29,7340032.0,7340032.0,0.0,0,1,0.1328320056200027,0.2195039987564087,14680064.0,1.6524932958126946,0.5,30,10
cohort_attention,512,64,4,28,128,cuda:1,float16,True,0.13035199791193,0.1348320052027702,0.1399680046737194,0.0017599985003471,30,7340032.0,7340032.0,0.0,0,0,0.13035199791193,0.3828159868717193,29360128.0,2.9367864935247243,0.75,30,10
cohort_attention,512,64,8,28,128,cuda:1,float16,True,0.1285119950771331,0.1348479986190796,0.1374540835618972,0.0015039891004562,29,7340032.0,7340032.0,0.0,0,1,0.1285119950771331,0.7015359997749329,58720256.0,5.458914549990991,0.875,30,10
cohort_attention,512,64,16,28,128,cuda:1,float16,True,0.1312479972839355,0.1367775976657867,0.1389750349521637,0.0017600059509277,30,7340032.0,7340032.0,0.0,0,0,0.1312479972839355,1.3359360098838806,117440512.0,10.178715390176825,0.9375,30,10
cohort_attention,512,256,1,28,128,cuda:1,float16,True,0.1162239983677864,0.120287999510765,0.1225766387581825,0.0013760030269622,29,7340032.0,7340032.0,0.0,0,1,0.1162239983677864,0.1380800008773803,7340032.0,1.188050685026611,0.0,30,10
cohort_attention,512,256,2,28,128,cuda:1,float16,True,0.1298239976167678,0.1327871978282928,0.1369484835863113,0.00102399289608,27,7340032.0,7340032.0,0.0,0,3,0.1298239976167678,0.2210559993982315,14680064.0,1.7027360384539585,0.5,30,10
cohort_attention,512,256,4,28,128,cuda:1,float16,True,0.1290239989757537,0.1352959990501404,0.1362649583816528,0.0013439953327178,27,7340032.0,7340032.0,0.0,0,3,0.1290239989757537,0.3793120086193084,29360128.0,2.939856240935369,0.75,30,10
cohort_attention,512,256,8,28,128,cuda:1,float16,True,0.1304319947957992,0.1363391995429992,0.137472003698349,0.0015359967947006,29,7340032.0,7340032.0,0.0,0,1,0.1304319947957992,0.7003520131111145,58720256.0,5.3694801969989525,0.875,30,10
cohort_attention,512,256,16,28,128,cuda:1,float16,True,0.1305280029773712,0.1325951963663101,0.1358982375264167,0.0009279996156692,27,7340032.0,7340032.0,0.0,0,3,0.1305280029773712,1.3398079872131348,117440512.0,10.26452528692566,0.9375,30,10
