policy,prediction_mode,num_traces,concurrency,memory_budget,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,oracle_gap
nocache,heuristic,3,3,0.5,1081303,0.0,0.0,566812999680,577189000,0,0,0,0,0,0,0,3778,0,0,{},0,-1.443027509144661
lru-basic,heuristic,3,3,0.5,983792,0.09017916347221822,0.2668078348332451,515689152512,536433000,0,0,0,0,0,0,0,2770,656,352,"{""assistant_delta"": 1, ""file_context"": 4, ""task_prefix"": 1, ""tool_observation"": 1}",0,1.0
lru-system,heuristic,3,3,0.5,983792,0.09017916347221822,0.2668078348332451,515689152512,536433000,0,0,0,0,0,0,0,2770,734,274,"{""assistant_delta"": 1, ""file_context"": 4, ""task_prefix"": 1, ""tool_observation"": 1}",0,1.0
kvflow-like,heuristic,3,3,0.5,1024751,0.052299864145387565,0.16013763896241398,537163464704,553681000,0,0,0,0,0,0,0,3173,561,44,"{""failure_summary"": 1, ""system_prefix"": 3, ""task_prefix"": 5, ""test_failure_summary"": 2}",0,-0.026181289773011977
asg-retention-v2-online,heuristic,3,3,0.5,1021272,0.055517278690616734,0.0606140815246162,535339466752,558829000,0,0,0,0,0,0,0,3549,227,2,"{""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 1}",1,0.06098110938517813
asg-retention-v2-oracle,oracle,3,3,0.5,1023706,0.053266290762163826,0.057702488088935945,536615583744,554059000,0,0,0,0,0,0,0,3560,216,2,{},0,-0.0
asg-placement-v2-online,heuristic,3,3,0.5,1021272,0.055517278690616734,0.0606140815246162,535339466752,573534341,108644,66584576,0,0,0,0,0,3549,227,2,"{""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 1}",1,0.06098110938517813
asg-prefetch-v2-online,heuristic,3,3,0.5,1021272,0.055517278690616734,0.0606140815246162,535339466752,559275038,1226849,380108800,0,4067950592,8192113,7698353,23,3549,220,9,"{""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 1}",1,0.06098110938517813
