policy,effective_prefill_tokens,LRU_regret_tokens_preserved,model_compute_cycles
asg-placement-v2-online,2272163.0,48.666666666666664,753741672.6666666
asg-prefetch-v2-online,2272163.0,48.666666666666664,751410868.3333334
asg-retention-v2-online,2272163.0,48.666666666666664,753782000.0
asg-retention-v2-oracle,2272163.0,48.666666666666664,753782000.0
kvflow-like,2303883.0,0.0,758921666.6666666
lru-system,2300923.3333333335,0.0,758052000.0
