memory_budget,effective_prefill_tokens,cache_byte_miss
0.02,4792298.0,922170687488.0
0.05,4750577.0,900296867840.0
0.1,4707704.0,877819068416.0
0.25,4476744.0,756729511936.0
0.5,4333771.0,681770483712.0
