concurrency,latency_p95_ms,ttft_p95_ms,workflow_wall_clock_s,gpu_memory_used_mib_mean,estimated_pressure_ratio_max
1,3589.7254943847656,3589.7254943847656,36.55397081375122,37612.5,94.4580078125
2,7053.525269031525,7053.525269031525,55.80869862437248,37612.56306306306,94.4580078125
4,14114.403754472733,14114.403754472733,104.39412251114845,37832.46226415094,94.4580078125
8,28164.55414891243,28164.55414891243,199.9509033560753,38035.5,94.4580078125
