policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,prompt_reconstruction_quality,observation_compression_class,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,message_history_full_history_risk,none,3,,0.0,8,0.25,1081303,0.0,0.0,566812999680,577189000,0,0,0,0,0,0,0,3778,0,0,{},0,0,5.265506547208822
lru-basic,none,none,False,False,basic,message_history_full_history_risk,none,3,,0.0,8,0.25,1031789,0.04579105024216157,0.22604552673372155,540853403648,556763000,0,0,0,0,0,0,0,2924,724,130,"{""assistant_delta"": 3, ""file_context"": 6, ""system_prefix"": 1, ""task_prefix"": 1, ""tool_observation"": 1}",0,0,1.0
lru-system,none,none,False,False,system,message_history_full_history_risk,none,3,,0.0,8,0.25,1031789,0.04579105024216157,0.22604552673372155,540853403648,556763000,0,0,0,0,0,0,0,2924,802,52,"{""assistant_delta"": 3, ""file_context"": 6, ""system_prefix"": 1, ""task_prefix"": 1, ""tool_observation"": 1}",0,0,1.0
kvflow-like,none,none,False,False,system,message_history_full_history_risk,none,3,,0.0,8,0.25,1058285,0.02128728025354598,0.12255161461090525,554744938496,566346000,0,0,0,0,0,0,0,3315,413,50,"{""failure_summary"": 1, ""file_context"": 1, ""system_prefix"": 3, ""task_prefix"": 4, ""test_failure_summary"": 3}",0,0,3.282563749138525
asg-retention-v2-graph-only,none,none,True,False,asg,message_history_full_history_risk,none,3,,0.0,8,0.25,1020237,0.056474457205797135,0.11143462149285337,534796828672,550186000,0,0,0,0,0,0,0,3357,421,0,"{""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 3}",0,0,0.004824259131633356
asg-retention-v2-online,heuristic,heuristic,True,False,asg,message_history_full_history_risk,none,3,,0.0,8,0.25,1020209,0.0565003518902657,0.11381683430386448,534782148608,550170000,0,0,0,0,0,0,0,3348,430,0,"{""file_context"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 4}",1,188,0.002412129565816678
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,message_history_full_history_risk,none,3,,0.0,8,0.25,1020181,0.05652624657473437,0.11805187930121758,534767468544,550154000,0,0,0,0,0,0,0,3332,446,0,"{""assistant_delta"": 4, ""system_prefix"": 3, ""task_prefix"": 6}",3,415,0.0
asg-placement-v2-online,heuristic,heuristic,True,False,asg,message_history_full_history_risk,none,3,,0.0,8,0.25,1020209,0.0565003518902657,0.11381683430386448,534782148608,550170000,0,0,0,0,0,0,0,3348,430,0,"{""file_context"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 4}",1,188,0.002412129565816678
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,message_history_full_history_risk,none,3,,0.0,8,0.25,1020209,0.0565003518902657,0.11381683430386448,534782148608,509165634,8524270,2457337856,0,11481907200,26508533,18342801,85,3348,408,22,"{""file_context"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 4}",1,188,0.002412129565816678
