state_precision,num_shards,shared_prefix_tokens,reduction,max_abs_error,mean_abs_error,relative_error,cosine_similarity,nan_or_inf_count
fp16,4,2048,ring,0.00010114908218383789,2.611563468235545e-05,0.0007848803363709928,0.999999735341052,0
fp16,4,2048,tree,0.00010114908218383789,2.8167716664029285e-05,0.0008373549756577518,0.9999997357170118,0
fp16,4,8192,ring,4.2516738176345825e-05,9.008608685689978e-06,0.0006807977897120481,0.9999997491015122,0
fp16,4,8192,tree,4.2516738176345825e-05,7.381961950159166e-06,0.0005705287079710207,0.9999999068141516,0
fp16,4,32768,ring,2.0626932382583618e-05,6.116713848314248e-06,0.0008267466329578594,0.9999996516840889,0
fp16,4,32768,tree,1.9798986613750458e-05,5.887949555472005e-06,0.000771767807907822,0.9999997025239026,0
fp16,8,2048,ring,8.00006091594696e-05,2.1092906536068767e-05,0.000802487538347664,0.9999996915712418,0
fp16,8,2048,tree,6.321817636489868e-05,2.0682266040239483e-05,0.0007627649826846581,0.9999996810339775,0
fp16,8,8192,ring,5.6918710470199585e-05,1.3416358342510648e-05,0.0009630765382514521,0.9999996808249119,0
fp16,8,8192,tree,5.873478949069977e-05,1.1188985808985308e-05,0.0008028599861235865,0.9999997070220977,0
fp16,8,32768,ring,2.8112903237342834e-05,6.5479766817588825e-06,0.001087620183974875,0.9999995181638931,0
fp16,8,32768,tree,3.302842378616333e-05,6.045799636922311e-06,0.00105075414269072,0.9999993924035119,0
fp16,16,2048,ring,0.0001637190580368042,3.055212800973095e-05,0.0011811142108276013,0.9999994109855811,0
fp16,16,2048,tree,9.797140955924988e-05,1.919880014611408e-05,0.0007038713464426883,0.9999997089836704,0
fp16,16,8192,ring,5.3729861974716187e-05,1.2279551810934208e-05,0.001017037051233427,0.9999994247760408,0
fp16,16,8192,tree,3.65586020052433e-05,1.0528463462833315e-05,0.0008201179494390027,0.9999996893641052,0
fp16,16,32768,ring,3.408268094062805e-05,7.195066700660391e-06,0.0009553913382736837,0.9999995140979258,0
fp16,16,32768,tree,4.56199049949646e-05,7.193586498033255e-06,0.0010168054066759186,0.9999994156933264,0
fp16,32,2048,ring,0.00020127743482589722,3.073393600061536e-05,0.0011795852314710053,0.9999992560426012,0
fp16,32,2048,tree,6.449036300182343e-05,1.8063799871015362e-05,0.0006484313022626984,0.9999999167786532,0
fp16,32,8192,ring,8.859485387802124e-05,1.7323360225418583e-05,0.0014304530776350906,0.9999992929316164,0
fp16,32,8192,tree,3.30023467540741e-05,1.0481087883817963e-05,0.0007998136264109301,0.9999997226685111,0
fp16,32,32768,ring,5.200318992137909e-05,1.086963038687827e-05,0.0016607158349322422,0.9999989474844755,0
fp16,32,32768,tree,2.0726583898067474e-05,5.754079211328644e-06,0.0008075444596853884,0.9999995967839266,0
bf16,4,2048,ring,0.0006604716181755066,0.00016994806355796754,0.005257680802660828,0.9999877451583191,0
bf16,4,2048,tree,0.0006604716181755066,0.0001649065816309303,0.005138351599194341,0.9999870858767896,0
bf16,4,8192,ring,0.0005473345518112183,7.596237992402166e-05,0.005348174599188892,0.9999866626217075,0
bf16,4,8192,tree,0.0003722943365573883,8.260270988103002e-05,0.0054402181634358605,0.9999874372095349,0
bf16,4,32768,ring,0.0002842918038368225,6.0914411733392626e-05,0.007125939705047416,0.9999751583977792,0
bf16,4,32768,tree,0.0002534780651330948,6.038438368705101e-05,0.006905195140729743,0.9999817812452589,0
bf16,8,2048,ring,0.0007334146648645401,0.0001832230482250452,0.00672650406117328,0.9999772838697835,0
bf16,8,2048,tree,0.000824302900582552,0.00016335528925992548,0.006168254169282122,0.9999817721934929,0
bf16,8,8192,ring,0.00040837936103343964,0.00011053972411900759,0.0067090502019825134,0.9999789689429823,0
bf16,8,8192,tree,0.00040837936103343964,0.00010967583511956036,0.006946350399012633,0.9999787602708252,0
bf16,8,32768,ring,0.0002164151519536972,5.3968884458299726e-05,0.008186024702927341,0.9999677559755715,0
bf16,8,32768,tree,0.0002649277448654175,4.9837748520076275e-05,0.007661091595006989,0.9999714233095481,0
bf16,16,2048,ring,0.0010343864560127258,0.0002623811597004533,0.00880203668998776,0.9999754339505899,0
bf16,16,2048,tree,0.000934157520532608,0.00018574780551716685,0.005987841515179065,0.9999821438823661,0
bf16,16,8192,ring,0.0007720701396465302,0.00012874710955657065,0.010123824769415972,0.9999584757548575,0
bf16,16,8192,tree,0.0004216879606246948,8.706444350536913e-05,0.006522729766857909,0.999978912780723,0
bf16,16,32768,ring,0.0002321973443031311,4.678940968005918e-05,0.006945148701384542,0.9999787281482118,0
bf16,16,32768,tree,0.0001571131870150566,3.589281550375745e-05,0.005101027134418703,0.9999876758680573,0
bf16,32,2048,ring,0.001069437712430954,0.0002612955286167562,0.010107568414196256,0.9999489905428474,0
bf16,32,2048,tree,0.0005849003791809082,0.00017102436686400324,0.006400090279008271,0.9999802407639901,0
bf16,32,8192,ring,0.0008192872628569603,0.0001259046548511833,0.010280929267404974,0.9999553460200077,0
bf16,32,8192,tree,0.00031112320721149445,8.194522524718195e-05,0.006245659882256062,0.9999806071927033,0
bf16,32,32768,ring,0.0003178175538778305,6.16741890553385e-05,0.009399314384754297,0.9999558685124967,0
bf16,32,32768,tree,0.00018015317618846893,4.843584611080587e-05,0.0069709193240870574,0.9999791761982748,0
fp32,4,2048,ring,4.470348358154297e-08,1.130729287979193e-08,3.790267457115312e-07,1.0000000796011033,0
fp32,4,2048,tree,4.842877388000488e-08,1.1551264833542518e-08,3.919193723315963e-07,0.9999999183117565,0
fp32,4,8192,ring,6.146728992462158e-08,1.0465413424753933e-08,7.70120042560845e-07,0.9999999811773391,0
