policy,total_cycles,pure_comp_cycles,pure_comm_cycles,effective_prefill_tokens,total_input_tokens,append_tokens,decode_tokens,llm_output_tokens,tool_output_tokens,cache_hit_ratio,effective_prefill_reduction,kv_migration_bytes,demand_migration_bytes,prefetch_migration_bytes,num_kv_migrations,num_prefetch_events,local_state_hits,remote_state_hits,state_misses,tool_wait_cycles,tool_wait_overlap_ratio,remote_read_bytes,num_remote_reads,remote_read_cycles,migration_skipped_by_cost,static_replica_bytes,num_static_replicas,unused_prefetch_events,migration_cost_estimate_cycles,remote_read_cost_estimate_cycles,busybarn_events
nocache,7491251000,90664000,0,89954,85654,4300,2886,2886,8502,0.0,0.0,0,0,0,0,0,0,0,296,19266000000,0.0,0,0,0,0,0,0,0,0,0,84
lru,7475138000,44712000,0,35271,85654,4300,2886,2886,8502,0.7736486486486487,0.6078995931253752,0,0,0,0,0,140,89,67,19266000000,0.0,0,0,0,0,2147483648,8,0,0,0,84
kvflow,7477949000,52202000,0,43645,85654,4300,2886,2886,8502,0.47297297297297297,0.5148075683126931,0,0,0,0,0,123,17,156,19266000000,0.0,0,0,0,0,2147483648,8,0,0,0,84
asg-retention,7475707000,48181000,0,38894,85654,4300,2886,2886,8502,0.5878378378378378,0.5676234519865709,0,0,0,0,0,138,36,122,19266000000,0.0,0,0,0,0,2147483648,8,0,0,0,84
asg-placement,7479332266,43611038,6456705,38894,85654,4300,2886,2886,8502,0.5878378378378378,0.5676234519865709,1288175616,1288175616,0,10,0,134,40,122,19266000000,0.0,1302855680,30,5090795,30,2147483648,8,0,129115414528,94499201024,124
asg-prefetch,7479332266,43611038,6456705,38894,85654,4300,2886,2886,8502,0.5878378378378378,0.5676234519865709,1288175616,1288175616,0,10,0,134,40,122,19266000000,0.0,1302855680,30,5090795,30,2147483648,8,0,129115414528,94499201024,124
