panel,memory_budget_gb,policy,remote_read_gb,model_comm_mcycles
remote_read,0.02,asg-placement-v2-online,0.866123776,
remote_read,0.05,asg-placement-v2-online,0.114819072,
remote_read,0.1,asg-placement-v2-online,1.068498944,
remote_read,0.25,asg-placement-v2-online,2.654994432,
remote_read,0.5,asg-placement-v2-online,1.978138624,
remote_read,1.0,asg-placement-v2-online,12.165578752,
remote_read,2.0,asg-placement-v2-online,24.730140672,
remote_read,0.02,asg-prefetch-v2-online,0.745537536,
remote_read,0.05,asg-prefetch-v2-online,0.114819072,
remote_read,0.1,asg-prefetch-v2-online,1.455947776,
remote_read,0.25,asg-prefetch-v2-online,2.52444672,
remote_read,0.5,asg-prefetch-v2-online,1.399324672,
remote_read,1.0,asg-prefetch-v2-online,5.69901056,
remote_read,2.0,asg-prefetch-v2-online,11.005853696,
comm_cycles,0.02,asg-placement-v2-online,,2.777139
comm_cycles,0.05,asg-placement-v2-online,,0.448522
comm_cycles,0.1,asg-placement-v2-online,,2.433067
comm_cycles,0.25,asg-placement-v2-online,,3.776966
comm_cycles,0.5,asg-placement-v2-online,,2.543655
comm_cycles,1.0,asg-placement-v2-online,,18.81451
comm_cycles,2.0,asg-placement-v2-online,,35.133567
comm_cycles,0.02,asg-prefetch-v2-online,,2.627633
comm_cycles,0.05,asg-prefetch-v2-online,,1.169429
comm_cycles,0.1,asg-prefetch-v2-online,,4.255803
comm_cycles,0.25,asg-prefetch-v2-online,,6.262859
comm_cycles,0.5,asg-prefetch-v2-online,,5.429442
comm_cycles,1.0,asg-prefetch-v2-online,,15.794547
comm_cycles,2.0,asg-prefetch-v2-online,,27.011784
