Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/opportunity_m0.02_c16
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,2334123,0.0,1.3617803302225413
lru-basic,2321524,0.3,1.0
lru-system,2321524,0.3,1.0
kvflow-like,2321523,0.30303030303030304,0.9999712849964106
asg-retention-v2-graph-only,2286699,0.42424242424242425,0.0
asg-retention-v2-online,2286699,0.42424242424242425,0.0
asg-retention-v2-trace-stats,2286699,0.42424242424242425,0.0
asg-retention-v2-oracle,2286699,0.42424242424242425,0.0
asg-placement-v2-online,2286699,0.42424242424242425,0.0
asg-prefetch-v2-online,2286699,0.42424242424242425,0.0
