engine,model_name,model_path,gpu_id,input_len,output_len,batch_size,seed,ttft_ms,tpot_ms,decode_ms,total_ms,prefill_tokens_per_s,decode_tokens_per_s,peak_gpu_mem_bytes,oom
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,1,1,23,474.9786376953125,0.0,0.0,28.887264251708984,269.4858038691604,999999999.9999999,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,1,2,23,28.36739158630371,0.03408050537109375,0.03408050537109375,28.401472091674805,9024.446228027586,58684.57577792703,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,1,4,23,27.568384170532227,0.4664306640625,0.4664306640625,27.971519470214844,18571.998882229575,8575.765506411934,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,1,8,23,28.148479461669922,2.6625919342041016,2.6625919342041016,30.302335739135742,36378.519180561474,3004.591089318142,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,1,16,23,28.731264114379883,0.6671352386474609,0.6671352386474609,28.262367248535156,71281.23537644779,23983.143256587882,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,16,1,23,27.639039993286133,27.317287063598634,409.7593059539795,437.3983459472656,4631.130460069988,39.047313306892846,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,16,2,23,28.041919708251953,25.464230092366538,381.96345138549805,410.00537109375,9129.189537072469,83.77764910209663,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,16,4,23,27.627424240112305,24.983505630493163,374.75258445739746,401.89111328125,18532.310343163525,170.77934256988596,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,16,8,23,28.090335845947266,25.090573755900063,376.358606338501,403.8956298828125,36453.818338656056,340.1011637418899,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,16,16,23,27.85750389099121,25.21681900024414,378.2522850036621,405.45001220703125,73516.99592375537,676.7969689793719,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,32,1,23,27.444128036499023,24.9822572892712,774.4499759674072,801.8941040039062,4664.021382999225,41.319647482753254,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,32,2,23,27.381824493408203,24.963111508277155,773.8564567565918,801.23828125,9349.267433279638,82.70267624080897,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,32,4,23,27.736576080322266,24.928402808404737,772.7804870605469,800.1355590820312,18459.380080558636,165.6356522236712,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,32,8,23,27.699840545654297,25.207137200140185,781.4212532043457,809.12109375,36967.72182902153,327.6081869417169,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,32,16,23,28.184640884399414,25.222740850140973,781.9049663543701,809.6052856445312,72663.68971667814,654.8110346289251,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,128,1,23,27.468992233276367,24.915865695382667,3164.3149433135986,3191.783935546875,4659.7996356393005,40.45109361521433,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,128,2,23,27.7093448638916,24.975508126686876,3171.8895320892334,3199.598876953125,9238.760470789652,80.70898983401231,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,128,4,23,27.914751052856445,25.1927076775258,3199.4738750457764,3227.2275390625,18341.557086807992,160.0263105735391,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,128,8,23,27.778335571289062,25.277993389940637,3210.305160522461,3238.08349609375,36863.25976486434,318.97279193026907,6738372608,False
hf,Qwen2.5-7B-Instruct-local,/data2/model_zoo/Qwen2.5-7B-Instruct,0,128,128,16,23,27.970943450927734,25.224546282310186,3203.5173778533936,3231.23974609375,73218.83881367871,639.297296827002,6738372608,False
