file_path,bytes,rows,row_count,sha256,command,commit_hash
figures_source/online_softmax_correctness.csv,14459,120,120,e2e6fe43824c2794b971ec35d0bcf03b3ed386d6cc8a81c3a5dc14ae9ba33ecf,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
figures_source/topology_sweep.csv,61723,40,40,e357af2d309c7c856a250483eddb5dd68caa911e52726edd3608ab52a47cd566,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
report.json,61146,,,cc39df0a9e7ca2da138dc589c7afff22ea41d2e0216e1d5a2c0611344d51ea4f,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
report.md,1956,,,57f9ac1db6ceba34131d0bcaa14c28b949a772e8ce2963992cfbe6e0b937dd41,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/agent_count_sweep.csv,21008,18,18,78372ddba96f0b1eccbf62a601a779200fc5245816922eaac16632d18ee5b8af,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/baseline_summary.csv,6880,6,6,5c3e14a4208696ac891c377a065b5ab30a1c1566dcabd9765485751c2c4a4802,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/correctness_summary.csv,14459,120,120,e2e6fe43824c2794b971ec35d0bcf03b3ed386d6cc8a81c3a5dc14ae9ba33ecf,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/hardware_sensitivity.csv,99657,80,80,881232bd9201f218706ada4b15946882fa15c745552390c4828c7a3ea40150c8,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/link_load_summary.csv,3089,48,48,8c3242932b4d293d196294eb4bd6316e759e64c1e45fda54a9fc59795dde5c82,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/mode_summary.csv,6880,6,6,5c3e14a4208696ac891c377a065b5ab30a1c1566dcabd9765485751c2c4a4802,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/numerical_error_summary.csv,7774,72,72,b0d2566559a9eed4eb12a84801b35500c956d37b41b49a67b26ed3eb32a15d25,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/online_softmax_correctness.csv,14459,120,120,e2e6fe43824c2794b971ec35d0bcf03b3ed386d6cc8a81c3a5dc14ae9ba33ecf,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/query_tile_sweep.csv,1829638,2160,2160,575b928aed66a06da46ce2ab7a5b3474572873b4002501f8ac5b9b3b67e4ae4e,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/reduction_topology_sweep.csv,17555,12,12,9110de1d9f6f3d3ac8a23d4ce9ebc8b8b7fa283042e22a2e2703cb9d70e26ca0,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/shard_count_sweep.csv,22112,18,18,c0820526d42737cdbeaa88a7b06ffdaa1bffe4176a375175e2a02025a6394ce3,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/shared_prefix_sweep.csv,22089,24,24,3f6486384bb31a27d240feeb6d38148cf2745508e9bd7dbf366bc8a1bcb8e373,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/sram_summary.csv,6880,6,6,5c3e14a4208696ac891c377a065b5ab30a1c1566dcabd9765485751c2c4a4802,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/topology_summary.csv,61723,40,40,e357af2d309c7c856a250483eddb5dd68caa911e52726edd3608ab52a47cd566,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
tables/topology_sweep.csv,61723,40,40,e357af2d309c7c856a250483eddb5dd68caa911e52726edd3608ab52a47cd566,uv run python scripts/export_kvring_artifacts.py --out results/kvring_round2_paper_artifacts,5cabcf07254a176ee02c6d50bac074a11055195a
