state_id,policy,expected_saved_cost,materialization_cost,storage_cost,movement_cost,contention_cost,reason,baseline
S_critic_0_feedback,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,kvflow_like_future_eviction
S_critic_lens_1,inline,0.0,1.584,4.05504,8.11008,2.02752,low fanout or low hotness,kvflow_like_future_eviction
S_critic_1_feedback,inline,0.0,0.9520000000000001,2.43712,4.87424,1.21856,low fanout or low hotness,kvflow_like_future_eviction
S_critic_lens_2,inline,0.0,1.804,4.61824,9.23648,2.30912,low fanout or low hotness,kvflow_like_future_eviction
S_critic_2_feedback,inline,0.0,1.116,2.8569600000000004,5.713920000000001,1.4284800000000002,low fanout or low hotness,kvflow_like_future_eviction
S_revised_answer,inline,0.0,0.92,2.3552000000000004,4.710400000000001,0.0,low fanout or low hotness,kvflow_like_future_eviction
S_task,replicate,13216.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,wafer_request_centric
S_document,cache_kv,2435.4,8.0,10.24,20.48,10.24,prefill-heavy reusable state can be represented as compatible KV,wafer_request_centric
S_rubric,replicate,3008.0,12.0,10.24,20.48,15.36,small hot state with broad fanout,wafer_request_centric
S_style_guide,inline,0.0,4.0,10.24,20.48,5.12,low fanout or low hotness,wafer_request_centric
S_draft,cache_text,1885.512,4.016,2.57024,5.14048,5.14048,small reusable text state,wafer_request_centric
S_critic_lens_0,inline,0.0,1.3960000000000001,3.5737600000000005,7.147520000000001,1.7868800000000002,low fanout or low hotness,wafer_request_centric
S_critic_0_feedback,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,wafer_request_centric
S_critic_lens_1,inline,0.0,1.584,4.05504,8.11008,2.02752,low fanout or low hotness,wafer_request_centric
S_critic_1_feedback,inline,0.0,0.9520000000000001,2.43712,4.87424,1.21856,low fanout or low hotness,wafer_request_centric
S_critic_lens_2,inline,0.0,1.804,4.61824,9.23648,2.30912,low fanout or low hotness,wafer_request_centric
S_critic_2_feedback,inline,0.0,1.116,2.8569600000000004,5.713920000000001,1.4284800000000002,low fanout or low hotness,wafer_request_centric
S_revised_answer,inline,0.0,0.92,2.3552000000000004,4.710400000000001,0.0,low fanout or low hotness,wafer_request_centric
S_task,replicate,13216.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,replicate_all_hot_states
S_document,cache_kv,2435.4,8.0,10.24,20.48,10.24,prefill-heavy reusable state can be represented as compatible KV,replicate_all_hot_states
S_rubric,replicate,3008.0,12.0,10.24,20.48,15.36,small hot state with broad fanout,replicate_all_hot_states
S_style_guide,inline,0.0,4.0,10.24,20.48,5.12,low fanout or low hotness,replicate_all_hot_states
S_draft,cache_text,1885.512,4.016,2.57024,5.14048,5.14048,small reusable text state,replicate_all_hot_states
S_critic_lens_0,inline,0.0,1.3960000000000001,3.5737600000000005,7.147520000000001,1.7868800000000002,low fanout or low hotness,replicate_all_hot_states
S_critic_0_feedback,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,replicate_all_hot_states
S_critic_lens_1,inline,0.0,1.584,4.05504,8.11008,2.02752,low fanout or low hotness,replicate_all_hot_states
S_critic_1_feedback,inline,0.0,0.9520000000000001,2.43712,4.87424,1.21856,low fanout or low hotness,replicate_all_hot_states
S_critic_lens_2,inline,0.0,1.804,4.61824,9.23648,2.30912,low fanout or low hotness,replicate_all_hot_states
S_critic_2_feedback,inline,0.0,1.116,2.8569600000000004,5.713920000000001,1.4284800000000002,low fanout or low hotness,replicate_all_hot_states
S_revised_answer,inline,0.0,0.92,2.3552000000000004,4.710400000000001,0.0,low fanout or low hotness,replicate_all_hot_states
S_task,replicate,13216.0,20.0,10.24,20.48,25.6,small hot state with broad fanout,single_pin_hot_state
S_document,cache_kv,2435.4,8.0,10.24,20.48,10.24,prefill-heavy reusable state can be represented as compatible KV,single_pin_hot_state
S_rubric,replicate,3008.0,12.0,10.24,20.48,15.36,small hot state with broad fanout,single_pin_hot_state
S_style_guide,inline,0.0,4.0,10.24,20.48,5.12,low fanout or low hotness,single_pin_hot_state
S_draft,cache_text,1885.512,4.016,2.57024,5.14048,5.14048,small reusable text state,single_pin_hot_state
S_critic_lens_0,inline,0.0,1.3960000000000001,3.5737600000000005,7.147520000000001,1.7868800000000002,low fanout or low hotness,single_pin_hot_state
S_critic_0_feedback,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,single_pin_hot_state
S_critic_lens_1,inline,0.0,1.584,4.05504,8.11008,2.02752,low fanout or low hotness,single_pin_hot_state
S_critic_1_feedback,inline,0.0,0.9520000000000001,2.43712,4.87424,1.21856,low fanout or low hotness,single_pin_hot_state
S_critic_lens_2,inline,0.0,1.804,4.61824,9.23648,2.30912,low fanout or low hotness,single_pin_hot_state
S_critic_2_feedback,inline,0.0,1.116,2.8569600000000004,5.713920000000001,1.4284800000000002,low fanout or low hotness,single_pin_hot_state
S_revised_answer,inline,0.0,0.92,2.3552000000000004,4.710400000000001,0.0,low fanout or low hotness,single_pin_hot_state
S_task,replicate,1454.3473383747796,20.0,10.24,20.48,25.6,small hot state with broad fanout,WaferStateFlow
S_document,cache_kv,2491.6057287270964,8.0,10.24,20.48,10.24,prefill-heavy reusable state can be represented as compatible KV,WaferStateFlow
S_rubric,replicate,1007.9911149345897,12.0,10.24,20.48,15.36,small hot state with broad fanout,WaferStateFlow
S_style_guide,inline,1566.860939459375,4.0,10.24,20.48,5.12,low fanout or low hotness,WaferStateFlow
S_draft,inline,360.95127481235437,4.016,2.57024,5.14048,5.14048,low fanout or low hotness,WaferStateFlow
S_critic_lens_0,inline,341.7715424195762,1.3960000000000001,3.5737600000000005,7.147520000000001,1.7868800000000002,low fanout or low hotness,WaferStateFlow
S_critic_0_feedback,inline,428.9281821770039,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,WaferStateFlow
S_critic_lens_1,inline,387.79808251619534,1.584,4.05504,8.11008,2.02752,low fanout or low hotness,WaferStateFlow
S_critic_1_feedback,inline,466.1411294891641,0.9520000000000001,2.43712,4.87424,1.21856,low fanout or low hotness,WaferStateFlow
S_critic_lens_2,inline,441.6589273101114,1.804,4.61824,9.23648,2.30912,low fanout or low hotness,WaferStateFlow
S_critic_2_feedback,inline,546.442752636457,1.116,2.8569600000000004,5.713920000000001,1.4284800000000002,low fanout or low hotness,WaferStateFlow
S_revised_answer,inline,0.0,0.92,2.3552000000000004,4.710400000000001,0.0,low fanout or low hotness,WaferStateFlow
