mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,device,dtype,exact_merge,latency_ms,memory_bytes_estimated,oom,independent_latency_ms,independent_memory_bytes,latency_speedup,read_byte_reduction_ratio,reps
cohort_attention,8192,256,2,28,128,cuda:1,float16,True,2.9795626178383827,117440512.0,0,3.112108912318945,234881024.0,1.0444851515074793,0.5,10
cohort_attention,8192,256,4,28,128,cuda:1,float16,True,2.7195210568606853,117440512.0,0,3.026464022696018,469762048.0,1.1128665523883299,0.75,10
cohort_attention,8192,256,8,28,128,cuda:1,float16,True,2.881933469325304,117440512.0,0,3.5148118622601032,939524096.0,1.2196020136033756,0.875,10
cohort_attention,8192,256,16,28,128,cuda:1,float16,True,2.7929353527724743,117440512.0,0,4.431325010955334,1879048192.0,1.5866192558150236,0.9375,10
cohort_attention,8192,1024,1,28,128,cuda:1,float16,True,2.724766731262207,117440512.0,0,2.8107883408665657,117440512.0,1.0315702656735355,0.0,10
cohort_attention,8192,1024,2,28,128,cuda:1,float16,True,2.7735172770917416,117440512.0,0,2.8475457802414894,234881024.0,1.0266911995685755,0.5,10
cohort_attention,8192,1024,4,28,128,cuda:1,float16,True,2.8195404447615147,117440512.0,0,3.058037720620632,469762048.0,1.0845872866630542,0.75,10
cohort_attention,8192,1024,8,28,128,cuda:1,float16,True,2.7788644656538963,117440512.0,0,3.570565953850746,939524096.0,1.2849010802729286,0.875,10
cohort_attention,8192,1024,16,28,128,cuda:1,float16,True,2.7747824788093567,117440512.0,0,4.3964264914393425,1879048192.0,1.584422031281466,0.9375,10
cohort_attention,16384,64,1,28,128,cuda:1,float16,True,2.806343138217926,234881024.0,0,2.8059943579137325,234881024.0,0.9998757171568068,0.0,10
cohort_attention,16384,64,2,28,128,cuda:1,float16,True,2.85402312874794,234881024.0,0,3.011186607182026,469762048.0,1.0550673457586988,0.5,10
cohort_attention,16384,64,4,28,128,cuda:1,float16,True,2.8982614167034626,234881024.0,0,3.3370433375239372,939524096.0,1.1513948735927186,0.75,10
cohort_attention,16384,64,8,28,128,cuda:1,float16,True,2.829676028341055,234881024.0,0,4.098254255950451,1879048192.0,1.4483121795229403,0.875,10
cohort_attention,16384,64,16,28,128,cuda:1,float16,True,2.9229624196887016,234881024.0,0,8.191929198801517,3758096384.0,2.8026118788328334,0.9375,10
cohort_attention,16384,256,1,28,128,cuda:1,float16,True,2.7935621328651905,234881024.0,0,2.7809939347207546,234881024.0,0.9955010135638024,0.0,10
cohort_attention,16384,256,2,28,128,cuda:1,float16,True,2.8724553994834423,234881024.0,0,2.962845843285322,469762048.0,1.031468006019566,0.5,10
cohort_attention,16384,256,4,28,128,cuda:1,float16,True,2.7912422083318233,234881024.0,0,3.418173175305128,939524096.0,1.2246064369125416,0.75,10
cohort_attention,16384,256,8,28,128,cuda:1,float16,True,2.838930580765009,234881024.0,0,4.102325066924095,1879048192.0,1.4450247902217597,0.875,10
cohort_attention,16384,256,16,28,128,cuda:1,float16,True,2.8755557723343372,234881024.0,0,7.990815211087465,3758096384.0,2.7788767959108753,0.9375,10
cohort_attention,16384,1024,1,28,128,cuda:1,float16,True,2.8027836233377457,234881024.0,0,2.7205985970795155,234881024.0,0.9706773560492127,0.0,10
cohort_attention,16384,1024,2,28,128,cuda:1,float16,True,2.740324940532446,234881024.0,0,3.0258065089583397,469762048.0,1.1041779988217109,0.5,10
cohort_attention,16384,1024,4,28,128,cuda:1,float16,True,2.884632907807827,234881024.0,0,3.315599635243416,939524096.0,1.1494008912777403,0.75,10
cohort_attention,16384,1024,8,28,128,cuda:1,float16,True,2.873072400689125,234881024.0,0,4.159970674663782,1879048192.0,1.4479171056274065,0.875,10
cohort_attention,16384,1024,16,28,128,cuda:1,float16,True,2.929610200226307,234881024.0,0,8.059469051659107,3758096384.0,2.7510380224087587,0.9375,10
independent_attention,512,64,1,28,128,cuda:1,float16,True,2.6333951391279697,7340032.0,0,2.6333951391279697,7340032.0,1.0,0.0,10
independent_attention,512,64,2,28,128,cuda:1,float16,True,2.6817023754119873,14680064.0,0,2.6817023754119873,14680064.0,1.0,0.0,10
independent_attention,512,64,4,28,128,cuda:1,float16,True,2.687892410904169,29360128.0,0,2.687892410904169,29360128.0,1.0,0.0,10
independent_attention,512,64,8,28,128,cuda:1,float16,True,2.817169763147831,58720256.0,0,2.817169763147831,58720256.0,1.0,0.0,10
independent_attention,512,64,16,28,128,cuda:1,float16,True,3.015176858752966,117440512.0,0,3.015176858752966,117440512.0,1.0,0.0,10
independent_attention,512,256,1,28,128,cuda:1,float16,True,2.618452999740839,7340032.0,0,2.618452999740839,7340032.0,1.0,0.0,10
independent_attention,512,256,2,28,128,cuda:1,float16,True,2.6273787952959538,14680064.0,0,2.6273787952959538,14680064.0,1.0,0.0,10
independent_attention,512,256,4,28,128,cuda:1,float16,True,2.6787263341248035,29360128.0,0,2.6787263341248035,29360128.0,1.0,0.0,10
independent_attention,512,256,8,28,128,cuda:1,float16,True,2.7802097611129284,58720256.0,0,2.7802097611129284,58720256.0,1.0,0.0,10
independent_attention,512,256,16,28,128,cuda:1,float16,True,3.0997120775282383,117440512.0,0,3.0997120775282383,117440512.0,1.0,0.0,10
independent_attention,512,1024,1,28,128,cuda:1,float16,True,2.552235033363104,7340032.0,0,2.552235033363104,7340032.0,1.0,0.0,10
