baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,prefill_compute_ms_saved,mesh_traffic_bytes,jct_ms,slo_goodput,energy_j
apc_like,1.0,100,2.9870898373591324,130858.43159502886,19684.873559969696,33398.74999448736,33477.399557694385,11.611005995534548,13.429570094938194,23.696167685853837,4.231528814337384,6.572776216218417,6.572776216218417,24602.80311992959,0.0,0.9107142857142857,765.0,0.8329411764705882,68.0,51631882240.0,123013965126656.0,4.070698710588619,2163200.0,2112000.0,0.8921284608,24.602793025331202,0.01400897536,0.042647683072,0.25551578144563203,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.27170559991,225192181760.0,54987325440.0,53309603840.0,79.06503416597843,239.31246902793646,0.03677979111671448,1.0867929086089134,51.052882336080074,507.8588742762804,5.078588742762804,0.00025799107885375214,13193.27170559991,123013965126656.0,19684.873559969696,1.4935449186795662,0.25551578144563203
kvflow_like,1.0,100,2.9870898373591324,130858.43159502886,19684.873559969696,33398.74999448736,33477.399557694385,11.611005995534548,13.429570094938194,23.696167685853837,4.231528814337384,6.572776216218417,6.572776216218417,24603.715822431986,0.0,0.9107142857142857,765.0,0.8258823529411765,74.0,52479131648.0,123018528529408.0,4.070640445131342,2163200.0,2112000.0,0.8921284608,24.6037057058816,0.01400897536,0.0433254825984,0.2555316862464,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.27170559991,224344932352.0,55834574848.0,54156853248.0,79.10247426480055,238.91443945467472,0.056984834372997284,1.2272000312805176,60.8698558062315,518.474381417036,5.184743814170361,0.0002633776250230413,13193.27170559991,123018528529408.0,19684.873559969696,1.4935449186795662,0.2555316862464
no_cache,1.0,100,2.978822026949135,130496.2353565877,19792.71074392166,33570.31709021519,33570.31709021519,18.72303543904387,27.65362898195683,27.65362898195683,4.231528814337384,6.572776216218413,6.572776216218413,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,80.56556805968285,238.32277581095695,0.04618987441062927,1.1362070217728615,56.87708966434002,520.3410713002086,5.203410713002086,0.00026289530425235223,0.0,123497090227200.0,19792.71074392166,1.4894110134745675,0.26624519695359994
pat_like,1.0,100,2.31148646302193,101261.5989720647,11630.560199263127,33188.72445050697,39548.42980611086,6.89326242113056,9.909494154296139,23.896167685853836,2.0139673431341967,4.300480281085936,5.06533628793596,13594.187462348998,0.0,0.9107142857142857,765.0,0.7470588235294118,142.0,86000009216.0,67970900741777.0,8.345821878561992,2163200.0,2112000.0,0.8921284608,13.5941801483554,0.01400897536,0.0700884975616,0.14570406082077,17524110812736.0,35540854374400.0,0.5069305135962466,analytical,,290821.27156264975,0.0,17524110812736.0,80.0,8.2875,80.0,80.0,0.0,0.0,0.0,8.2875,0.0585736259486687,0.0,0.0,0.0,0.0,13193.271705599907,190824054784.0,89355452416.0,87610621952.0,78.80790252238512,367.8860701620579,0.023645348846912384,10.964949615299702,65.0438591837883,657.8302513808012,6.578302513808012,0.0004508465441370734,13193.271705599907,67970900741777.0,11630.560199263127,1.0401689083598684,0.14570406082077
waferagent_full,1.0,100,5.393193822683437,236265.034984116,2840.339814467279,12273.383012278899,17861.56575690321,9.103980308213277,13.429570094938194,23.696167685853837,3.4574380403488476,5.1875611469807605,5.88016868159959,2286.582783427858,2748.3731669316785,0.9107142857142857,765.0,0.7478559176672385,193.0,126575706112.0,1331867872768.0,2.3682661343430707,2163200.0,2112000.0,0.8921284608,0.2663735745536,0.8347772256183501,0.1039449194496,0.0209722418042155,27395448897391.0,35540854374400.0,0.2291842900342913,analytical,,359179.8842195978,0.0,27395448897391.0,272.0,2.0,272.0,272.0,0.0,0.0,0.0,2.0,0.00015072352941266043,0.0,0.0,0.0,0.0,13193.271705599898,16633527533423.0,62016978944.0,129931149312.0,78.6391356959939,240.93440733850002,0.06658956408500671,23.021182976663113,63.491467386484146,517.198602668941,5.17198602668941,0.0011467274143096965,13193.271705599898,1331867872768.0,2840.339814467279,4.584214749280921,0.0209722418042155
