mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,rep,latency_ms,memory_bytes_estimated,shared_read_bytes_estimated,read_byte_reduction_ratio,latency_speedup,oom,exact_merge,device,dtype
independent_attention,512,64,1,28,128,0,183.01136698573828,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
independent_attention,512,64,1,28,128,1,2.6280544698238373,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
independent_attention,512,64,1,28,128,2,2.6231901720166206,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
independent_attention,512,64,1,28,128,3,2.620362676680088,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
independent_attention,512,64,1,28,128,4,2.632753923535347,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
independent_attention,512,64,1,28,128,5,2.6404373347759247,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
independent_attention,512,64,1,28,128,6,2.6320070028305054,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
independent_attention,512,64,1,28,128,7,2.6340363547205925,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
independent_attention,512,64,1,28,128,8,2.674642018973828,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
independent_attention,512,64,1,28,128,9,2.6736827567219734,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,0,2.654928714036941,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,1,0.5299728363752365,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,2,2.647558227181434,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,3,2.6492001488804817,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,4,2.621191553771496,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,5,2.6184413582086563,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,6,2.589191310107708,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,7,2.58815661072731,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,8,2.576202154159546,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
cohort_attention,512,64,1,28,128,9,2.5792717933654785,7340032,7340032,0.0,1.0,False,True,cuda:1,float16
split_shared_private_merge,512,64,1,28,128,0,42.62237809598446,8257536,7340032,0.0,1.0,False,True,cuda:1,float16
split_shared_private_merge,512,64,1,28,128,1,2.679671160876751,8257536,7340032,0.0,1.0,False,True,cuda:1,float16
split_shared_private_merge,512,64,1,28,128,2,2.67635565251112,8257536,7340032,0.0,1.0,False,True,cuda:1,float16
split_shared_private_merge,512,64,1,28,128,3,2.678265795111656,8257536,7340032,0.0,1.0,False,True,cuda:1,float16
split_shared_private_merge,512,64,1,28,128,4,2.712039276957512,8257536,7340032,0.0,1.0,False,True,cuda:1,float16
split_shared_private_merge,512,64,1,28,128,5,2.638428471982479,8257536,7340032,0.0,1.0,False,True,cuda:1,float16
split_shared_private_merge,512,64,1,28,128,6,2.622912637889385,8257536,7340032,0.0,1.0,False,True,cuda:1,float16
split_shared_private_merge,512,64,1,28,128,7,2.6417849585413933,8257536,7340032,0.0,1.0,False,True,cuda:1,float16
split_shared_private_merge,512,64,1,28,128,8,2.64720618724823,8257536,7340032,0.0,1.0,False,True,cuda:1,float16
