arrival_rate_jobs_per_s,variant,metric,full_value,variant_value,delta_abs,delta_pct,paper_claim,threshold,supported
4.0,no_affinity_placement,decode_shared_kv_read_bytes,28329604284274.0,22123376541614.0,-6206227742660.0,-0.21907216494743376,decode cohort,0.05,False
4.0,no_affinity_placement,mesh_total_traffic_bytes,1337882504704.0,61380749899105.0,60042867394401.0,44.87902875124688,placement/mesh,0.05,True
4.0,no_affinity_placement,jct_p99_ms,8676.442625328167,298293.1992123471,289616.75658701896,33.37966596374108,tail latency,0.05,True
4.0,no_affinity_placement,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599924,1.6370904631912708e-11,1.2408525343235407e-15,prefix compute reuse,0.95,False
4.0,no_affinity_placement,sram_reload_bytes,125392912384.0,157001187328.0,31608274944.0,0.2520738560342521,SRAM/future reuse,0.05,True
4.0,no_affinity_placement,energy_per_job_j,0.023413276400568995,0.1371663503469145,0.1137530739463455,0.1137530739463455,energy,0.02,True
4.0,no_aggregator_placement,decode_shared_kv_read_bytes,28329604284274.0,22277995364268.0,-6051608920006.0,-0.21361431170308648,decode cohort,0.05,False
4.0,no_aggregator_placement,mesh_total_traffic_bytes,1337882504704.0,1787350832229.0,449468327525.0,0.33595500796569777,placement/mesh,0.05,True
4.0,no_aggregator_placement,jct_p99_ms,8676.442625328167,13533.991262460999,4857.548637132832,0.5598548675874067,tail latency,0.05,True
4.0,no_aggregator_placement,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599906,-1.8189894035458565e-12,-1.3787250381372675e-16,prefix compute reuse,0.95,False
4.0,no_aggregator_placement,sram_reload_bytes,125392912384.0,134351945728.0,8959033344.0,0.07144768530907145,SRAM/future reuse,0.05,True
4.0,no_aggregator_placement,energy_per_job_j,0.023413276400568995,0.021139037530274504,-0.0022742388702944906,-0.0022742388702944906,energy,0.02,False
4.0,no_distributed_sram_policy,decode_shared_kv_read_bytes,28329604284274.0,22242561884076.0,-6087042400198.0,-0.21486506973826558,decode cohort,0.05,False
4.0,no_distributed_sram_policy,mesh_total_traffic_bytes,1337882504704.0,1787350832229.0,449468327525.0,0.33595500796569777,placement/mesh,0.05,True
4.0,no_distributed_sram_policy,jct_p99_ms,8676.442625328167,13533.991262460999,4857.548637132832,0.5598548675874067,tail latency,0.05,True
4.0,no_distributed_sram_policy,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599906,-1.8189894035458565e-12,-1.3787250381372675e-16,prefix compute reuse,0.95,False
4.0,no_distributed_sram_policy,sram_reload_bytes,125392912384.0,134217728000.0,8824815616.0,0.07037730800107038,SRAM/future reuse,0.05,True
4.0,no_distributed_sram_policy,energy_per_job_j,0.023413276400568995,0.0211202470483545,-0.0022930293522144957,-0.0022930293522144957,energy,0.02,False
4.0,no_future_reuse_policy,decode_shared_kv_read_bytes,28329604284274.0,22242561884076.0,-6087042400198.0,-0.21486506973826558,decode cohort,0.05,False
4.0,no_future_reuse_policy,mesh_total_traffic_bytes,1337882504704.0,1787350832229.0,449468327525.0,0.33595500796569777,placement/mesh,0.05,True
4.0,no_future_reuse_policy,jct_p99_ms,8676.442625328167,13533.991262460999,4857.548637132832,0.5598548675874067,tail latency,0.05,True
4.0,no_future_reuse_policy,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599906,-1.8189894035458565e-12,-1.3787250381372675e-16,prefix compute reuse,0.95,False
4.0,no_future_reuse_policy,sram_reload_bytes,125392912384.0,134217728000.0,8824815616.0,0.07037730800107038,SRAM/future reuse,0.05,True
