baseline,arrival_rate_jobs_per_s,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,accepted_avg_size,accepted_avg_wait_ms,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,jct_p99_ms,jct_p99_delta_vs_no_cohort,jct_p99_delta_pct_vs_no_cohort,decode_kv_bytes_saved,slo_goodput_delta_vs_no_cohort
no_shared_kv_decode_cohort,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35540854374400.0,35540854374400.0,0.0,23092.34714742804,2623.138447236066,0.11359340956071776,7320342259433.0,-0.23136213583333612
waferagent_full,16.0,245.0,245.0,0.0,0.0,0.0,2.0,4.462236734720396e-05,28220512114967.0,35540854374400.0,0.20596978852331216,25715.485594664107,2623.138447236066,0.11359340956071776,7320342259433.0,-0.23136213583333612
