cross_job_task_group_size,unique_task_ratio,cross_job_prefix_hit_rate_observed,num_trace_records,num_unique_prefixes
1,0.0,0.03461538461538462,2600,210
1,0.1,0.03461538461538462,2600,210
1,0.25,0.03461538461538462,2600,210
1,0.5,0.03461538461538462,2600,210
1,0.75,0.03461538461538462,2600,210
1,1.0,0.03461538461538462,2600,210
2,0.0,0.07307692307692308,2600,110
2,0.1,0.06692307692307692,2600,126
2,0.25,0.05653846153846154,2600,153
2,0.5,0.045,2600,183
2,0.75,0.03576923076923077,2600,207
2,1.0,0.03461538461538462,2600,210
5,0.0,0.09615384615384616,2600,50
5,0.1,0.08961538461538461,2600,67
5,0.25,0.07692307692307693,2600,100
5,0.5,0.05923076923076923,2600,146
5,0.75,0.04153846153846154,2600,192
5,1.0,0.03461538461538462,2600,210
10,0.0,0.10384615384615385,2600,30
10,0.1,0.09692307692307692,2600,48
10,0.25,0.08423076923076923,2600,81
10,0.5,0.06653846153846153,2600,127
10,0.75,0.04423076923076923,2600,185
10,1.0,0.03461538461538462,2600,210
20,0.0,0.1076923076923077,2600,20
20,0.1,0.10076923076923076,2600,38
20,0.25,0.08807692307692308,2600,71
20,0.5,0.07038461538461538,2600,117
20,0.75,0.04730769230769231,2600,177
20,1.0,0.03461538461538462,2600,210
50,0.0,0.11,2600,14
50,0.1,0.10307692307692308,2600,32
50,0.25,0.09038461538461538,2600,65
50,0.5,0.0726923076923077,2600,111
50,0.75,0.04923076923076923,2600,172
50,1.0,0.03461538461538462,2600,210
