policy,total_cycles,pure_comp_cycles,pure_comm_cycles,effective_prefill_tokens,total_input_tokens,append_tokens,decode_tokens,cache_hit_ratio,effective_prefill_reduction,kv_migration_bytes,tool_wait_cycles,busybarn_events
nocache,76343858,76343000,0,59958,56022,3936,3277,0.0,0.0,0,12586,76
lru,43119858,43119000,0,26734,56022,3936,3277,0.28870292887029286,0.5541212181860635,0,12586,76
kvflow,36507858,36507000,0,20122,56022,3936,3277,0.4560669456066946,0.6643984122218887,0,12586,76
asg,36633858,36633000,0,20248,56022,3936,3277,0.4602510460251046,0.6622969411921679,0,12586,76
