policy,total_cycles,pure_comp_cycles,pure_comm_cycles,effective_prefill_tokens,total_input_tokens,append_tokens,decode_tokens,llm_output_tokens,tool_output_tokens,cache_hit_ratio,cache_byte_miss,effective_prefill_reduction,kv_migration_bytes,demand_migration_bytes,prefetch_migration_bytes,num_kv_migrations,num_prefetch_events,local_state_hits,remote_state_hits,state_misses,tool_wait_cycles,tool_wait_overlap_ratio,remote_read_bytes,num_remote_reads,remote_read_cycles,migration_skipped_by_cost,num_action_local,num_action_remote_read,num_action_migrate,num_action_replicate,num_action_static_hit,static_replica_bytes,num_static_replicas,unused_prefetch_events,migration_cost_estimate_cycles,remote_read_cost_estimate_cycles,external_wait_cycles,model_compute_cycles,model_comm_cycles,exposed_migration_cycles,exposed_prefetch_cycles,llm_side_cycles,prefetch_hidden_cycles,prefetch_exposed_cycles,compressed_observation_tokens_saved,num_compressed_observations,busybarn_events
nocache,7491251000,90664000,0,89954,85654,4300,2886,2886,8502,0.0,44907364352,0.0,0,0,0,0,0,0,0,296,19266000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19266000000,90664000,0,0,0,0,0,0,0,0,84
lru,7475138000,44712000,0,35271,85654,4300,2886,2886,8502,0.7736486486486487,16237723648,0.6078995931253752,0,0,0,0,0,140,89,67,19266000000,0.0,0,0,0,0,0,0,0,0,0,2147483648,8,0,0,0,19266000000,44712000,0,0,0,0,0,0,0,0,84
kvflow,7477949000,52202000,0,43645,85654,4300,2886,2886,8502,0.47297297297297297,20628111360,0.5148075683126931,0,0,0,0,0,123,17,156,19266000000,0.0,0,0,0,0,0,0,0,0,0,2147483648,8,0,0,0,19266000000,52202000,0,0,0,0,0,0,0,0,84
asg-retention-v2,7469806000,25301000,0,14477,85654,4300,2886,2886,8502,0.7635135135135135,5335678976,0.8390621873401961,0,0,0,0,0,154,72,70,19266000000,0.0,0,0,0,0,0,0,0,0,0,2147483648,8,0,0,0,19266000000,25301000,0,0,0,0,0,0,0,0,84
asg-placement-v2,7473558242,22655000,9601189,14477,85654,4300,2886,2886,8502,0.7635135135135135,5335678976,0.8390621873401961,1051197440,1051197440,0,7,0,152,74,70,19266000000,0.0,3131047936,67,12234881,67,104,67,7,0,48,2147483648,8,0,4106247,12235277,19266000000,22655000,9601189,4106247,0,0,0,0,0,0,158
asg-prefetch-v2,7473558242,21379000,12275788,14477,85654,4300,2886,2886,8502,0.7635135135135135,5335678976,0.8390621873401961,2291662848,1472200704,819462144,15,5,149,77,70,19266000000,1.0,3131047936,67,12234881,67,101,67,10,0,48,2147483648,8,3,8951823,12235277,19266000000,21379000,12275788,5750794,0,0,3201029,0,0,0,166
