policy,prediction_mode,num_traces,concurrency,memory_budget,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,oracle_gap
nocache,heuristic,3,3,0.05,1081303,0.0,0.0,566812999680,577189000,0,0,0,0,0,0,0,3778,0,0,{},0,1.9603199335203074
lru-basic,heuristic,3,3,0.05,1072058,0.008549869925451037,0.09899417681312864,561965957120,572814000,0,0,0,0,0,0,0,3404,374,0,"{""assistant_delta"": 1, ""file_context"": 2, ""task_prefix"": 1, ""tool_observation"": 2}",0,1.0
lru-system,heuristic,3,3,0.05,1072058,0.008549869925451037,0.09899417681312864,561965957120,572814000,0,0,0,0,0,0,0,3404,374,0,"{""assistant_delta"": 1, ""file_context"": 2, ""task_prefix"": 1, ""tool_observation"": 2}",0,1.0
kvflow-like,heuristic,3,3,0.05,1076110,0.004802539158774155,0.0463208046585495,564090372096,573910000,0,0,0,0,0,0,0,3603,171,4,"{""task_prefix"": 1, ""test_failure_summary"": 1}",0,1.4208995533395659
asg-retention-v2-online,heuristic,3,3,0.05,1064454,0.015582126379007577,0.05849655902593965,557979271168,568537000,0,0,0,0,0,0,0,3557,214,7,"{""failure_summary"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 2}",0,0.21013815311104186
asg-retention-v2-oracle,oracle,3,3,0.05,1062431,0.017453017331867215,0.05240868184224457,556918636544,567418000,0,0,0,0,0,0,0,3580,198,0,{},0,0.0
asg-placement-v2-online,heuristic,3,3,0.05,1064454,0.015582126379007577,0.05849655902593965,557979271168,594006231,0,25165824,8388608,0,0,0,0,3557,217,4,"{""failure_summary"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 2}",0,0.21013815311104186
asg-prefetch-v2-online,heuristic,3,3,0.05,1064454,0.015582126379007577,0.05849655902593965,557979271168,580227691,1509054,468713472,93323264,1153433600,3153982,1351710,70,3557,191,30,"{""failure_summary"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 2}",0,0.21013815311104186
