concurrency,latency_p95_ms,ttft_p95_ms,workflow_wall_clock_s,gpu_memory_used_mib_mean
1,3053.845554590225,3053.845554590225,23.00783607363701,36331.5
2,3779.6269953250885,3779.6269953250885,28.0064195394516,36331.5
4,5008.165776729584,5008.165776729584,36.366614818573,36331.5
8,8266.513705253601,8266.513705253601,52.189770102500916,36331.5
