metric,success_mean,failure_mean,delta_failure_minus_success,mannwhitney_u,p_value
semantic_tool_entropy,1.8635786130083771,1.729793861377536,-0.13378475163084103,199034.0,0.09105404759162555
phase_entropy,1.0230840666352599,1.0109389809642595,-0.012145085671000366,212275.0,0.8943165821753456
repeated_semantic_tool_ratio,0.5249414201014658,0.5525640749134548,0.027622654811989,230591.0,0.007819512298287243
repeated_phase_ratio,0.6840975913270305,0.6978355265654272,0.013737935238396726,226375.5,0.03806614060507763
max_same_tool_run_length,3.9335106382978724,5.130782918149467,1.1972722798515942,217890.5,0.36055700458226014
repeated_object_ratio,0.45225690105999017,0.4876175487141359,0.035360647654145705,228430.0,0.018198879847787647
repeated_path_prefix_ratio,0.48931866057207785,0.5138327536158324,0.024514093043754515,226302.0,0.03816577001037778
error_rate,0.13263237724668578,0.1502180000515575,0.01758562280487172,219099.5,0.27633501856993037
repeated_error_signature_count,2.132978723404255,4.1788256227758005,2.0458468993715453,232607.0,0.0018765605166414139
repeated_test_case_count,5.093085106382978,6.201957295373665,1.108872188990687,222818.5,0.06701261477265069
no_progress_loop_score,0.3699435661360473,0.396799874559716,0.026856308423668707,229068.5,0.014555441149157808
failure_loop_score,0.403054583951037,0.4289263272438073,0.02587174329277031,229580.0,0.011978528060200276
