view,global_entropy,conditional_entropy,entropy_reduction,mutual_information,n_transitions
wrapper_tool_all,2.7155825939466665,1.0106661496081162,1.7049164443385503,1.7049164443385503,80093
semantic_tool_all,3.614376662124106,2.40688604464309,1.2074906174810156,1.2074906174810156,80093
semantic_tool_no_unknown,4.132003447805479,2.6920467197815907,1.4399567280238883,1.4399567280238883,50321
semantic_tool_tool_action_only,3.8926036754933184,2.5709226615953016,1.3216810138980168,1.3216810138980168,46977
collapsed_semantic_tool_tool_action_only,4.018176910625162,2.9781591751293592,1.0400177354958031,1.0400177354958031,25664
phase_all,1.472366103200596,1.1757574447730152,0.29660865842758066,0.29660865842758066,80093
phase_clean_tool_action_only,1.5122350284019266,1.3296128326564374,0.1826221957454892,0.1826221957454892,26381
collapsed_phase_clean_tool_action_only,1.5527981037763794,0.8895970532590941,0.6632010505172853,0.6632010505172853,10677
