cur_phase,explore/read,edit/write,execute/test,retrieve/browser,verify/final,unknown
explore/read,0.4878048780487805,0.34146341463414637,0.0,0.012195121951219513,0.036585365853658534,0.12195121951219512
edit/write,0.10526315789473684,0.6023391812865497,0.13450292397660818,0.017543859649122806,0.1286549707602339,0.011695906432748537
execute/test,0.06060606060606061,0.5151515151515151,0.21212121212121213,0.0,0.18181818181818182,0.030303030303030304
retrieve/browser,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0
verify/final,0.15476190476190477,0.19047619047619047,0.047619047619047616,0.023809523809523808,0.5714285714285714,0.011904761904761904
unknown,0.6,0.26666666666666666,0.0,0.0,0.06666666666666667,0.06666666666666667
