strategy,mesh,island_size,object_accesses,avg_hops,remote_object_accesses,moved_bytes,estimated_latency_units,movement_reduction_vs_random,latency_reduction_vs_random
baseline_random,5x5,0,1691,3.247191011235955,1605,8432552.0,4456.1052,0.0,0.0
session_affinity,5x5,0,1691,4.059727971614429,1600,10718414.0,5165.5914,-0.27107594474365526,-0.1592166630177403
agent_island,5x5,3,1691,1.7001774098166764,1488,4484097.0,3145.6597,0.46823962662785834,0.2940786721103442
