K,n_train,n_test,future_tool_cosine,future_tool_top3_recall,remaining_steps_mae,remaining_steps_r2,future_obs_spearman,future_obs_mae,long_auc,long_accuracy
1,7,3,0.7936621929623979,0.6666666666666666,39.333333333333336,-2.7100038925652004,,29697.77797619048,0.5,0.3333333333333333
2,7,3,0.890640245340116,1.0,13.34436781574116,-119.86151635688299,,33321.76021825397,,1.0
3,7,3,0.8038917119020118,1.0,18.402077475694572,-2.163885061686473,0.5,45368.22083333333,1.0,0.6666666666666666
5,7,3,0.8706060021434884,1.0,7.86173047207388,-0.0005971812718610359,0.5,11633.625,,0.6666666666666666
