policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,1,1,0.02702702702702703,4,0.5,644338000,,,1.2415843858347638e-08,5418,0.2268835616438356,1.0,0,7338000,0,0,0,0,0,0,0,0,28,23,"{""agent_role"": 1, ""assistant_delta"": 8, ""edit_diff"": 1, ""file_context"": 3, ""system_prefix"": 1, ""task_prefix"": 1, ""tool_observation"": 1}",0,0,
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,1,1,0.02702702702702703,4,0.5,644338000,,,1.2415843858347638e-08,5418,0.2268835616438356,1.0,0,7338000,0,0,0,0,0,0,0,0,28,23,"{""agent_role"": 1, ""assistant_delta"": 8, ""edit_diff"": 1, ""file_context"": 3, ""system_prefix"": 1, ""task_prefix"": 1, ""tool_observation"": 1}",0,0,
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,1,1,0.02702702702702703,4,0.5,644338000,,,1.2415843858347638e-08,5418,0.2268835616438356,1.0,0,7338000,0,0,0,0,0,0,0,0,28,23,"{""agent_role"": 1, ""assistant_delta"": 8, ""edit_diff"": 1, ""file_context"": 3, ""system_prefix"": 1, ""task_prefix"": 1, ""tool_observation"": 1}",0,0,
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,1,1,0.02702702702702703,4,0.5,644338000,,,1.2415843858347638e-08,5418,0.2268835616438356,1.0,0,7338000,0,0,0,0,0,0,0,0,28,23,"{""agent_role"": 1, ""assistant_delta"": 8, ""edit_diff"": 1, ""file_context"": 3, ""system_prefix"": 1, ""task_prefix"": 1, ""tool_observation"": 1}",0,0,
