policy,prediction_mode,num_traces,concurrency,memory_budget,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,oracle_gap
nocache,heuristic,3,3,0.5,1081303,0.0,0.0,566812999680,577189000,0,0,0,0,0,0,0,3778,0,0,{},0,1.1811845718766374
lru-basic,heuristic,3,3,0.5,983792,0.09017916347221822,0.2668078348332451,515689152512,536433000,0,0,0,0,0,0,0,2770,656,352,"{""assistant_delta"": 1, ""file_context"": 4, ""task_prefix"": 1, ""tool_observation"": 1}",0,1.0
lru-system,heuristic,3,3,0.5,983792,0.09017916347221822,0.2668078348332451,515689152512,536433000,0,0,0,0,0,0,0,2770,734,274,"{""assistant_delta"": 1, ""file_context"": 4, ""task_prefix"": 1, ""tool_observation"": 1}",0,1.0
kvflow-like,heuristic,3,3,0.5,1024751,0.052299864145387565,0.16013763896241398,537163464704,553681000,0,0,0,0,0,0,0,3173,561,44,"{""failure_summary"": 1, ""system_prefix"": 3, ""task_prefix"": 5, ""test_failure_summary"": 2}",0,1.0761056586384632
asg-retention-v2-online,heuristic,3,3,0.5,445592,0.20180564263322887,0.12096347273689782,233517350912,257234000,0,0,0,0,0,0,0,3321,445,12,"{""file_context"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 3}",1,-2.6013311383053443e-05
asg-retention-v2-oracle,oracle,3,3,0.5,445606,0.20178056426332291,0.12149285336156697,233524690944,257216000,0,0,0,0,0,0,0,3319,446,13,"{""assistant_delta"": 2, ""file_context"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 1}",3,0.0
asg-placement-v2-online,heuristic,3,3,0.5,445592,0.20180564263322887,0.12096347273689782,233517350912,257617865,230383,430440448,0,0,0,0,0,3321,445,12,"{""file_context"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 3}",1,-2.6013311383053443e-05
asg-prefetch-v2-online,heuristic,3,3,0.5,445592,0.20180564263322887,0.12096347273689782,233517350912,239051205,9756115,4681367552,0,8149008384,23322420,8509726,52,3321,406,51,"{""file_context"": 1, ""system_prefix"": 3, ""task_prefix"": 6, ""test_failure_summary"": 3}",1,-2.6013311383053443e-05
