baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit,workflow
flat_sequential,0,0.0,O_expert_0,S_task,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False,mapreduce
flat_sequential,0,0.0,O_expert_0,S_document,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False,mapreduce
flat_sequential,0,0.0,O_expert_0,S_rubric,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False,mapreduce
flat_sequential,0,0.0,O_expert_0,S_unique_expert_0,R_0_0,inline,inline,0.0,155.75,1780,1780,False,mapreduce
flat_sequential,1,6.940003202153125,O_expert_1,S_task,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False,mapreduce
flat_sequential,1,6.940003202153125,O_expert_1,S_document,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False,mapreduce
flat_sequential,1,6.940003202153125,O_expert_1,S_rubric,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False,mapreduce
flat_sequential,1,6.940003202153125,O_expert_1,S_unique_expert_1,R_0_0,inline,inline,0.0,138.6,1584,1584,False,mapreduce
flat_sequential,2,13.782006404275624,O_expert_2,S_task,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False,mapreduce
flat_sequential,2,13.782006404275624,O_expert_2,S_document,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False,mapreduce
flat_sequential,2,13.782006404275624,O_expert_2,S_rubric,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False,mapreduce
flat_sequential,2,13.782006404275624,O_expert_2,S_unique_expert_2,R_0_0,inline,inline,0.0,142.79999999999998,1632,1632,False,mapreduce
flat_sequential,3,20.648009606405623,O_expert_3,S_task,R_0_0,replicate,replicate,725.375,821.4937500000001,4000,4000,False,mapreduce
flat_sequential,3,20.648009606405623,O_expert_3,S_document,R_0_0,replicate,replicate,725.375,821.4937500000001,4000,4000,False,mapreduce
flat_sequential,3,20.648009606405623,O_expert_3,S_rubric,R_0_0,replicate,replicate,725.375,821.4937500000001,4000,4000,False,mapreduce
flat_sequential,3,20.648009606405623,O_expert_3,S_unique_expert_3,R_0_0,inline,inline,0.0,108.14999999999999,1236,1236,False,mapreduce
flat_sequential,4,27.316012808473747,O_summarizer,S_task,R_0_0,replicate,replicate,821.4937500000001,1233.9709375000002,4000,4000,False,mapreduce
flat_sequential,4,27.316012808473747,O_summarizer,S_rubric,R_0_0,replicate,replicate,821.4937500000001,1233.9709375000002,4000,4000,False,mapreduce
flat_sequential,4,27.316012808473747,O_summarizer,S_expert_0_summary,R_0_0,inline,inline,0.0,145.6,832,832,False,mapreduce
flat_sequential,4,27.316012808473747,O_summarizer,S_expert_1_summary,R_0_0,inline,inline,0.0,199.5,1140,1140,False,mapreduce
flat_sequential,4,27.316012808473747,O_summarizer,S_expert_2_summary,R_0_0,inline,inline,0.0,157.5,900,900,False,mapreduce
flat_sequential,4,27.316012808473747,O_summarizer,S_expert_3_summary,R_0_0,inline,inline,0.0,151.89999999999998,868,868,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_0,S_task,R_0_0,replicate,replicate,1233.9709375000002,1152.0811093750003,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_0,S_document,R_0_0,replicate,replicate,821.4937500000001,883.9709375000001,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_0,S_rubric,R_0_0,replicate,replicate,1233.9709375000002,1152.0811093750003,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_0,S_unique_expert_0,R_0_0,inline,inline,155.75,256.9875,1780,1780,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_1,S_task,R_0_15,replicate,replicate,1152.0811093750003,1098.8527210937502,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_1,S_document,R_0_15,replicate,replicate,883.9709375000001,924.5811093750001,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_1,S_rubric,R_0_15,replicate,replicate,1152.0811093750003,1098.8527210937502,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_1,S_unique_expert_1,R_0_15,inline,inline,138.6,228.69,1584,1584,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_2,S_task,R_15_0,replicate,replicate,1098.8527210937502,1064.2542687109376,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_2,S_document,R_15_0,replicate,replicate,924.5811093750001,950.9777210937501,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_2,S_rubric,R_15_0,replicate,replicate,1098.8527210937502,1064.2542687109376,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_2,S_unique_expert_2,R_15_0,inline,inline,142.79999999999998,235.61999999999998,1632,1632,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_3,S_task,R_15_15,replicate,replicate,1064.2542687109376,1041.7652746621095,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_3,S_document,R_15_15,replicate,replicate,950.9777210937501,968.1355187109376,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_3,S_rubric,R_15_15,replicate,replicate,1064.2542687109376,1041.7652746621095,4000,4000,False,mapreduce
request_parallel_gpu_like,0,0.0,O_expert_3,S_unique_expert_3,R_15_15,inline,inline,108.14999999999999,178.4475,1236,1236,False,mapreduce
request_parallel_gpu_like,1,6.94000320847375,O_summarizer,S_task,R_0_0,replicate,replicate,1041.7652746621095,1377.1474285303711,0,0,True,mapreduce
request_parallel_gpu_like,1,6.94000320847375,O_summarizer,S_rubric,R_0_0,replicate,replicate,1041.7652746621095,1377.1474285303711,0,0,True,mapreduce
request_parallel_gpu_like,1,6.94000320847375,O_summarizer,S_expert_0_summary,R_0_0,inline,inline,145.6,240.24,832,832,False,mapreduce
