policy,total_cycles,pure_comp_cycles,pure_comm_cycles,effective_prefill_tokens,total_input_tokens,append_tokens,decode_tokens,llm_output_tokens,tool_output_tokens,cache_hit_ratio,effective_prefill_reduction,kv_migration_bytes,demand_migration_bytes,prefetch_migration_bytes,num_kv_migrations,num_prefetch_events,local_state_hits,remote_state_hits,state_misses,tool_wait_cycles,busybarn_events
nocache,29536374,29536374,0,89954,85654,4300,2886,2886,8502,0.0,0.0,0,0,0,0,0,0,0,296,19266,84
lru,15493374,15493374,0,35271,85654,4300,2886,2886,8502,0.7736486486486487,0.6078995931253752,0,0,0,0,0,92,137,67,19266,84
kvflow,17799374,17799374,0,43645,85654,4300,2886,2886,8502,0.47297297297297297,0.5148075683126931,0,0,0,0,0,75,65,156,19266,84
asg-retention,16937374,16937374,0,39850,85654,4300,2886,2886,8502,0.527027027027027,0.5569957978522355,0,0,0,0,0,88,68,140,19266,84
asg-placement,37030761,4124452,4078790,39850,85654,4300,2886,2886,8502,0.527027027027027,0.5569957978522355,18997051392,18997051392,0,84,0,72,84,140,19266,168
asg-prefetch,37162790,4702070,6675429,39850,85654,4300,2886,2886,8502,0.527027027027027,0.5569957978522355,19111346176,18881708032,229638144,86,5,75,81,140,19266,170
