node_id,job_id,baseline,start_ms,end_ms,assigned_tiles,placement_region,prefill_ms,decode_ms,comm_ms,queue_wait_ms,cache_hit,tile_r,tile_c
smoke_debate_0_r0_proposer_0,smoke_debate_0,waferagent_full,0.0,7.82896816,1,communication_affinity,1.1028361599999998,6.726132,0.0,0.0,miss,0,0
smoke_debate_0_r0_proposer_1,smoke_debate_0,waferagent_full,0.0,7.360262791999999,1,communication_affinity,0.6341307919999999,6.726132,0.0,0.0,hit,0,0
smoke_debate_0_r0_critic_0,smoke_debate_0,waferagent_full,7.82896816,15.923463347839999,1,communication_affinity,0.6209999558399999,7.4734799999999995,1.5231999999999997e-05,0.0,hit,0,0
smoke_debate_0_r0_critic_1,smoke_debate_0,waferagent_full,7.82896816,15.923463347839999,1,communication_affinity,0.6209999558399999,7.4734799999999995,1.5231999999999997e-05,0.4687053680000002,hit,0,0
smoke_debate_0_r0_judge,smoke_debate_0,waferagent_full,15.923463347839999,24.081263459839995,1,communication_affinity,0.6842860639999999,7.4734799999999995,3.4047999999999997e-05,0.0,hit,0,0
smoke_debate_1_r0_proposer_0,smoke_debate_1,waferagent_full,0.0,7.82896816,1,communication_affinity,1.1028361599999998,6.726132,0.0,0.0,miss,0,0
smoke_debate_1_r0_proposer_1,smoke_debate_1,waferagent_full,0.0,7.360262791999999,1,communication_affinity,0.6341307919999999,6.726132,0.0,0.0,hit,0,0
smoke_debate_1_r0_critic_0,smoke_debate_1,waferagent_full,7.82896816,15.923463347839999,1,communication_affinity,0.6209999558399999,7.4734799999999995,1.5231999999999997e-05,0.0,hit,0,0
smoke_debate_1_r0_critic_1,smoke_debate_1,waferagent_full,7.82896816,15.923463347839999,1,communication_affinity,0.6209999558399999,7.4734799999999995,1.5231999999999997e-05,0.4687053680000002,hit,0,0
smoke_debate_1_r0_judge,smoke_debate_1,waferagent_full,15.923463347839999,24.081263459839995,1,communication_affinity,0.6842860639999999,7.4734799999999995,3.4047999999999997e-05,0.0,hit,0,0
