policy,total_cycles,pure_comp_cycles,pure_comm_cycles,effective_prefill_tokens,total_input_tokens,append_tokens,decode_tokens,llm_output_tokens,tool_output_tokens,cache_hit_ratio,cache_byte_miss,effective_prefill_reduction,kv_migration_bytes,demand_migration_bytes,prefetch_migration_bytes,num_kv_migrations,num_prefetch_events,local_state_hits,remote_state_hits,state_misses,tool_wait_cycles,tool_wait_overlap_ratio,remote_read_bytes,num_remote_reads,remote_read_cycles,migration_skipped_by_cost,num_action_local,num_action_remote_read,num_action_migrate,num_action_replicate,num_action_static_hit,static_replica_bytes,num_static_replicas,unused_prefetch_events,migration_cost_estimate_cycles,remote_read_cost_estimate_cycles,external_wait_cycles,model_compute_cycles,model_comm_cycles,exposed_migration_cycles,exposed_prefetch_cycles,llm_side_cycles,prefetch_hidden_cycles,prefetch_exposed_cycles,compressed_observation_tokens_saved,num_compressed_observations,busybarn_events
nocache,26471499000,489308000,0,590605,574003,16602,11844,11844,43795,0.0,300942884864,0.0,0,0,0,0,0,0,0,2078,87987000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87987000000,489308000,0,0,0,0,0,0,1626,2,343
lru,26441163000,395400000,0,459917,574003,16602,11844,11844,43795,0.12319538017324351,232424734720,0.22127818084845197,0,0,0,0,0,256,0,1822,87987000000,0.0,0,0,0,0,0,0,0,0,0,2147483648,8,0,0,0,87987000000,395400000,0,0,0,0,0,0,1626,2,343
kvflow,26449827000,426386000,0,499440,574003,16602,11844,11844,43795,0.1323387872954764,253146169344,0.15435866611356153,0,0,0,0,0,218,57,1803,87987000000,0.0,0,0,0,0,0,0,0,0,0,2147483648,8,0,0,0,87987000000,426386000,0,0,0,0,0,0,1626,2,343
asg-retention-v2,26414847000,306809000,0,341476,574003,16602,11844,11844,43795,0.3551491819056785,170327539712,0.42181999813750304,0,0,0,0,0,541,197,1340,87987000000,0.0,0,0,0,0,0,0,0,0,0,2147483648,8,0,0,0,87987000000,306809000,0,0,0,0,0,0,1626,2,343
asg-placement-v2,26423337929,299497127,25368623,341476,574003,16602,11844,11844,43795,0.3551491819056785,170327539712,0.42181999813750304,0,0,0,0,0,541,197,1340,87987000000,0.0,15246819328,197,59567094,152,349,197,0,0,192,2147483648,8,0,0,59567094,87987000000,299497127,25368623,0,0,0,0,0,1626,2,540
asg-prefetch-v2,26422594008,305785187,34108959,341476,574003,16602,11844,11844,43795,0.3551491819056785,170327539712,0.42181999813750304,2174222336,0,2174222336,22,22,572,166,1340,87987000000,1.0,14756085760,166,57645977,120,380,166,0,0,192,2147483648,8,0,8493573,57645977,87987000000,305785187,34108959,0,0,0,8493573,0,1626,2,531
