concurrency_level,workflow_id,success,workflow_wall_clock_s,num_llm_requests,num_llm_errors,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,tokens_per_second_mean,gpu_memory_used_mib_mean,gpu_memory_used_mib_max,gpu_utilization_pct_mean,gpu_power_draw_w_mean
1,c1_wf_000_parse_bool_yes,True,24.1341073513031,8,0,2881.563186645508,3292.6762104034424,2881.563186645508,3292.6762104034424,16.434622780915646,36331.5,36599.0,54.34615384615385,148.45417582417582
1,c1_wf_001_mean_empty,True,23.453980684280396,8,0,2766.2649154663086,3327.7480602264404,2766.2649154663086,3327.7480602264404,16.937560090443437,36331.5,36599.0,54.34615384615385,148.45417582417582
1,c1_wf_002_dedupe_order,True,22.724370002746582,8,0,2752.9001235961914,2850.396156311035,2752.9001235961914,2850.396156311035,17.39557222626396,36331.5,36599.0,54.34615384615385,148.45417582417582
1,c1_wf_003_slug_spaces,True,22.875686645507812,8,0,2742.8863048553467,3066.753387451172,2742.8863048553467,3066.753387451172,17.318472338893628,36331.5,36599.0,54.34615384615385,148.45417582417582
1,c1_wf_004_safe_divide_zero,True,23.123419761657715,8,0,2749.7477531433105,3316.558361053467,2749.7477531433105,3316.558361053467,17.132070250065752,36331.5,36599.0,54.34615384615385,148.45417582417582
1,c1_wf_005_parse_int_blank,True,22.67044687271118,8,0,2741.649389266968,2871.979236602783,2741.649389266968,2871.979236602783,17.412734665735353,36331.5,36599.0,54.34615384615385,148.45417582417582
1,c1_wf_006_window_tail,True,22.567853450775146,8,0,2738.960027694702,2849.395513534546,2738.960027694702,2849.395513534546,17.493490393101645,36331.5,36599.0,54.34615384615385,148.45417582417582
1,c1_wf_007_normalize_none,True,22.512823820114136,8,0,2733.2234382629395,2855.257511138916,2733.2234382629395,2855.257511138916,17.52959234608763,36331.5,36599.0,54.34615384615385,148.45417582417582
2,c2_wf_000_parse_bool_yes,True,27.98376703262329,8,0,3396.843671798706,3733.603000640869,3396.843671798706,3733.603000640869,14.092871054868077,36331.5,36599.0,53.839285714285715,147.67723214285715
2,c2_wf_001_mean_empty,True,27.9892315864563,8,0,3398.0720043182373,3785.3500843048096,3398.0720043182373,3785.3500843048096,14.055982621399355,36331.5,36599.0,53.839285714285715,147.67723214285715
