baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,prefill_compute_ms_saved,mesh_traffic_bytes,jct_ms,slo_goodput,energy_j
apc_like,1.0,100,3.406192838792794,149218.49588183474,17302.980307611426,29279.641271389854,29358.290834596875,6.911555683145518,8.163424198787498,17.17815327406116,0.1089285264802489,0.1119033535642467,0.11190335356424672,24602.853447475187,0.0,0.9107142857142857,765.0,0.831764705882353,69.0,52168753152.0,123014216784896.0,4.070760211689197,2163200.0,2112000.0,0.8921284608,24.602843356979204,0.01400897536,0.0430771798016,0.255520579729408,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599933,224655310848.0,55524196352.0,53846474752.0,77.70869880914688,238.04667592048645,0.04024803638458252,1.0849321261048317,105.3777514025569,561.5475317463279,5.615475317463279,0.0003245331709917877,13193.271705599933,123014216784896.0,17302.980307611426,1.703096419396397,0.255520579729408
kvflow_like,1.0,100,3.406192838792794,149218.49588183474,17302.980307611426,29279.641271389854,29358.290834596875,6.911555683145518,8.163424198787498,17.17815327406116,0.1089285264802489,0.1119033535642467,0.11190335356424672,24604.108403955186,0.0,0.9107142857142857,765.0,0.8211764705882353,78.0,53443821568.0,123020491463680.0,4.070700960570621,2163200.0,2112000.0,0.8921284608,24.604098292736,0.01400897536,0.0440972345344,0.255543329634304,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599933,223380242432.0,56799264768.0,55121543168.0,78.80482263863087,240.1155410334468,0.026936642825603485,1.1245133355259895,104.18675653636456,565.6649004667997,5.656649004667997,0.00032690408558668887,13193.271705599933,123020491463680.0,17302.980307611426,1.703096419396397,0.255543329634304
no_cache,1.0,100,3.395446419497346,148747.71674533974,17410.817491563394,29451.20836711768,29451.20836711768,14.649519384475827,21.135614570164154,21.135614570164154,0.1089285264802489,0.11190335356424672,0.11190335356424672,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,80.69505356252193,240.0736790150404,0.03872811794281006,1.1523058637976646,109.66879595071077,583.0830000340939,5.830830000340939,0.00033489696869008783,0.0,123497090227200.0,17410.817491563394,1.697723209748673,0.26624519695359994
pat_like,1.0,100,2.447239683666447,107208.6760620597,8623.645468220475,31379.091620799554,40862.364511096974,5.376200183682243,6.911032031210164,17.37815327406116,0.10850696836567619,0.1114038469742827,0.11149447199175205,12215.832867138199,0.0,0.9107142857142857,765.0,0.7564705882352941,152.0,84607500288.0,61079130787467.0,5.652965990092325,2163200.0,2112000.0,0.8921284608,12.2158261574934,0.01400897536,0.06902817751040001,0.131909917711638,16154445742040.0,35540854374400.0,0.5454682779467448,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,11.179392129182816,0.0,16154445742040.0,87.0,8.126436781609195,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,8.126436781609195,0.15735091690330702,0.0,0.0,0.0,0.0,13193.27170559993,192216563712.0,87962943488.0,86285221888.0,78.97918485105038,323.6938240006566,0.024684704840183258,9.24448762089014,112.07087244838476,671.5802224352956,6.715802224352956,0.0005628961720427452,13193.27170559993,61079130787467.0,8623.645468220475,1.5172886038731972,0.131909917711638
waferagent_full,1.0,100,5.025402691406689,220152.8411051442,6614.077442884304,15846.522995039055,19218.579844565316,5.376599627321072,6.911555683145518,17.17815327406116,0.10876688372049664,0.11166562135892644,0.11182410949580646,8378.655356269577,9926.740765434215,0.9107142857142857,765.0,0.7233704292527822,247.0,137489285120.0,1783770574336.0,2.2278570819945815,2163200.0,2112000.0,0.8921284608,0.3567541148672,0.83387528248755,0.11267578265599999,0.021954336408107497,28249288395863.0,35540854374400.0,0.20516012084923596,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,29.05542394518852,0.0,28249288395863.0,226.0,2.0,573.0,226.0,0.0,0.0,0.0,0.0,347.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599931,16612594601047.0,64911048704.0,140844728320.0,79.01627104729414,242.1555630862713,0.03933161497116089,25.041669607162476,121.63861189037561,598.1611693277955,5.981611693277955,0.0007085084620193419,13193.271705599931,1783770574336.0,6614.077442884304,3.6685439647268825,0.021954336408107497
