baseline,arrival_rate_jobs_per_s,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,jct_p99_ms,jct_p99_delta_vs_no_cohort,jct_p99_delta_pct_vs_no_cohort,decode_kv_bytes_saved
no_shared_kv_decode_cohort,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35540854374400.0,35540854374400.0,0.0,18640.82425499806,-348.663210085997,-0.018704280739759233,7026995993104.0
waferagent_latency_safe,16.0,581.0,225.0,0.0,0.0,0.0,0.0,356.0,0.0,2.0,0.0,28513858381296.0,35540854374400.0,0.19771601208792355,18292.161044912064,-348.663210085997,-0.018704280739759233,7026995993104.0
