mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,rep,latency_ms,memory_bytes_estimated,shared_read_bytes_estimated,read_byte_reduction_ratio,latency_speedup,oom,exact_merge,max_abs_error,device,dtype,is_outlier
cohort_attention,512,64,2,28,128,12,0.1292160004377365,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,13,0.1319999992847442,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,14,0.1308159977197647,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,15,0.1376000046730041,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,16,0.1288000047206878,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,17,0.1311360001564026,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,18,0.1317760050296783,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,19,0.1346559971570968,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,20,0.1328320056200027,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,21,0.1340479999780655,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,22,0.1328320056200027,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,23,0.1350080072879791,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,24,0.1317120045423507,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,25,0.1288640052080154,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,26,0.1306239962577819,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,27,0.1266559958457946,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,28,0.1372800022363662,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,2,28,128,29,0.1295679956674575,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,0,0.1333439946174621,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,1,0.1408960074186325,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,2,0.1330879926681518,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,3,0.1324480026960373,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,4,0.1302720010280609,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,5,0.1286720037460327,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,6,0.1339839994907379,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,7,0.1276479959487915,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,8,0.1304319947957992,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,9,0.1293119937181472,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,10,0.1282240003347396,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,11,0.1296959966421127,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,12,0.1286399960517883,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,13,0.1333439946174621,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,14,0.1287039965391159,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,15,0.1376959979534149,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,16,0.1282240003347396,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,17,0.1285440027713775,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,18,0.1305280029773712,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,19,0.1347520053386688,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,20,0.1319359987974167,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,21,0.12950399518013,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,22,0.1281280070543289,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,23,0.1306239962577819,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,24,0.1305599957704544,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,25,0.1292800009250641,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,26,0.1318079978227615,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,27,0.1282559931278228,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
